,Date,Hour,Count,Weekday
2014-04-01 00:00:00,2014-04-01,0,0.0,Tuesday
2014-04-01 01:00:00,2014-04-01,1,0.0,Tuesday
2014-04-01 02:00:00,2014-04-01,2,0.0,Tuesday
2014-04-01 03:00:00,2014-04-01,3,3.0,Tuesday
2014-04-01 04:00:00,2014-04-01,4,4.0,Tuesday
2014-04-01 05:00:00,2014-04-01,5,5.0,Tuesday
2014-04-01 06:00:00,2014-04-01,6,4.0,Tuesday
2014-04-01 07:00:00,2014-04-01,7,4.0,Tuesday
2014-04-01 08:00:00,2014-04-01,8,7.0,Tuesday
2014-04-01 09:00:00,2014-04-01,9,7.0,Tuesday
2014-04-01 10:00:00,2014-04-01,10,14.0,Tuesday
2014-04-01 11:00:00,2014-04-01,11,2.0,Tuesday
2014-04-01 12:00:00,2014-04-01,12,11.0,Tuesday
2014-04-01 13:00:00,2014-04-01,13,9.0,Tuesday
2014-04-01 14:00:00,2014-04-01,14,12.0,Tuesday
2014-04-01 15:00:00,2014-04-01,15,15.0,Tuesday
2014-04-01 16:00:00,2014-04-01,16,8.0,Tuesday
2014-04-01 17:00:00,2014-04-01,17,10.0,Tuesday
2014-04-01 18:00:00,2014-04-01,18,9.0,Tuesday
2014-04-01 19:00:00,2014-04-01,19,12.0,Tuesday
2014-04-01 20:00:00,2014-04-01,20,5.0,Tuesday
2014-04-01 21:00:00,2014-04-01,21,8.0,Tuesday
2014-04-01 22:00:00,2014-04-01,22,8.0,Tuesday
2014-04-01 23:00:00,2014-04-01,23,7.0,Tuesday
2014-04-02 00:00:00,2014-04-02,0,1.0,Wednesday
2014-04-02 01:00:00,2014-04-02,1,0.0,Wednesday
2014-04-02 02:00:00,2014-04-02,2,0.0,Wednesday
2014-04-02 03:00:00,2014-04-02,3,1.0,Wednesday
2014-04-02 04:00:00,2014-04-02,4,3.0,Wednesday
2014-04-02 05:00:00,2014-04-02,5,6.0,Wednesday
2014-04-02 06:00:00,2014-04-02,6,1.0,Wednesday
2014-04-02 07:00:00,2014-04-02,7,6.0,Wednesday
2014-04-02 08:00:00,2014-04-02,8,1.0,Wednesday
2014-04-02 09:00:00,2014-04-02,9,6.0,Wednesday
2014-04-02 10:00:00,2014-04-02,10,4.0,Wednesday
2014-04-02 11:00:00,2014-04-02,11,13.0,Wednesday
2014-04-02 12:00:00,2014-04-02,12,6.0,Wednesday
2014-04-02 13:00:00,2014-04-02,13,7.0,Wednesday
2014-04-02 14:00:00,2014-04-02,14,13.0,Wednesday
2014-04-02 15:00:00,2014-04-02,15,15.0,Wednesday
2014-04-02 16:00:00,2014-04-02,16,7.0,Wednesday
2014-04-02 17:00:00,2014-04-02,17,7.0,Wednesday
2014-04-02 18:00:00,2014-04-02,18,9.0,Wednesday
2014-04-02 19:00:00,2014-04-02,19,9.0,Wednesday
2014-04-02 20:00:00,2014-04-02,20,3.0,Wednesday
2014-04-02 21:00:00,2014-04-02,21,15.0,Wednesday
2014-04-02 22:00:00,2014-04-02,22,5.0,Wednesday
2014-04-02 23:00:00,2014-04-02,23,5.0,Wednesday
2014-04-03 00:00:00,2014-04-03,0,0.0,Thursday
2014-04-03 01:00:00,2014-04-03,1,2.0,Thursday
2014-04-03 02:00:00,2014-04-03,2,1.0,Thursday
2014-04-03 03:00:00,2014-04-03,3,1.0,Thursday
2014-04-03 04:00:00,2014-04-03,4,5.0,Thursday
2014-04-03 05:00:00,2014-04-03,5,8.0,Thursday
2014-04-03 06:00:00,2014-04-03,6,9.0,Thursday
2014-04-03 07:00:00,2014-04-03,7,9.0,Thursday
2014-04-03 08:00:00,2014-04-03,8,4.0,Thursday
2014-04-03 09:00:00,2014-04-03,9,7.0,Thursday
2014-04-03 10:00:00,2014-04-03,10,7.0,Thursday
2014-04-03 11:00:00,2014-04-03,11,5.0,Thursday
2014-04-03 12:00:00,2014-04-03,12,8.0,Thursday
2014-04-03 13:00:00,2014-04-03,13,13.0,Thursday
2014-04-03 14:00:00,2014-04-03,14,11.0,Thursday
2014-04-03 15:00:00,2014-04-03,15,18.0,Thursday
2014-04-03 16:00:00,2014-04-03,16,6.0,Thursday
2014-04-03 17:00:00,2014-04-03,17,17.0,Thursday
2014-04-03 18:00:00,2014-04-03,18,17.0,Thursday
2014-04-03 19:00:00,2014-04-03,19,11.0,Thursday
2014-04-03 20:00:00,2014-04-03,20,13.0,Thursday
2014-04-03 21:00:00,2014-04-03,21,12.0,Thursday
2014-04-03 22:00:00,2014-04-03,22,10.0,Thursday
2014-04-03 23:00:00,2014-04-03,23,9.0,Thursday
2014-04-04 00:00:00,2014-04-04,0,3.0,Friday
2014-04-04 01:00:00,2014-04-04,1,5.0,Friday
2014-04-04 02:00:00,2014-04-04,2,2.0,Friday
2014-04-04 03:00:00,2014-04-04,3,1.0,Friday
2014-04-04 04:00:00,2014-04-04,4,8.0,Friday
2014-04-04 05:00:00,2014-04-04,5,7.0,Friday
2014-04-04 06:00:00,2014-04-04,6,12.0,Friday
2014-04-04 07:00:00,2014-04-04,7,5.0,Friday
2014-04-04 08:00:00,2014-04-04,8,4.0,Friday
2014-04-04 09:00:00,2014-04-04,9,9.0,Friday
2014-04-04 10:00:00,2014-04-04,10,7.0,Friday
2014-04-04 11:00:00,2014-04-04,11,4.0,Friday
2014-04-04 12:00:00,2014-04-04,12,6.0,Friday
2014-04-04 13:00:00,2014-04-04,13,10.0,Friday
2014-04-04 14:00:00,2014-04-04,14,11.0,Friday
2014-04-04 15:00:00,2014-04-04,15,6.0,Friday
2014-04-04 16:00:00,2014-04-04,16,10.0,Friday
2014-04-04 17:00:00,2014-04-04,17,7.0,Friday
2014-04-04 18:00:00,2014-04-04,18,4.0,Friday
2014-04-04 19:00:00,2014-04-04,19,4.0,Friday
2014-04-04 20:00:00,2014-04-04,20,4.0,Friday
2014-04-04 21:00:00,2014-04-04,21,6.0,Friday
2014-04-04 22:00:00,2014-04-04,22,6.0,Friday
2014-04-04 23:00:00,2014-04-04,23,6.0,Friday
