,Date,Hour,Count,Weekday
2014-04-05 00:00:00,2014-04-05,0,91,Saturday
2014-04-05 01:00:00,2014-04-05,1,68,Saturday
2014-04-05 02:00:00,2014-04-05,2,36,Saturday
2014-04-05 03:00:00,2014-04-05,3,26,Saturday
2014-04-05 04:00:00,2014-04-05,4,22,Saturday
2014-04-05 05:00:00,2014-04-05,5,38,Saturday
2014-04-05 06:00:00,2014-04-05,6,35,Saturday
2014-04-05 07:00:00,2014-04-05,7,41,Saturday
2014-04-05 08:00:00,2014-04-05,8,68,Saturday
2014-04-05 09:00:00,2014-04-05,9,68,Saturday
2014-04-05 10:00:00,2014-04-05,10,74,Saturday
2014-04-05 11:00:00,2014-04-05,11,87,Saturday
2014-04-05 12:00:00,2014-04-05,12,100,Saturday
2014-04-05 13:00:00,2014-04-05,13,104,Saturday
2014-04-05 14:00:00,2014-04-05,14,92,Saturday
2014-04-05 15:00:00,2014-04-05,15,109,Saturday
2014-04-05 16:00:00,2014-04-05,16,126,Saturday
2014-04-05 17:00:00,2014-04-05,17,142,Saturday
2014-04-05 18:00:00,2014-04-05,18,171,Saturday
2014-04-05 19:00:00,2014-04-05,19,181,Saturday
2014-04-05 20:00:00,2014-04-05,20,176,Saturday
2014-04-05 21:00:00,2014-04-05,21,196,Saturday
2014-04-05 22:00:00,2014-04-05,22,214,Saturday
2014-04-05 23:00:00,2014-04-05,23,176,Saturday
2014-04-06 00:00:00,2014-04-06,0,165,Sunday
2014-04-06 01:00:00,2014-04-06,1,106,Sunday
2014-04-06 02:00:00,2014-04-06,2,81,Sunday
2014-04-06 03:00:00,2014-04-06,3,61,Sunday
2014-04-06 04:00:00,2014-04-06,4,55,Sunday
2014-04-06 05:00:00,2014-04-06,5,54,Sunday
2014-04-06 06:00:00,2014-04-06,6,34,Sunday
2014-04-06 07:00:00,2014-04-06,7,53,Sunday
2014-04-06 08:00:00,2014-04-06,8,59,Sunday
2014-04-06 09:00:00,2014-04-06,9,61,Sunday
2014-04-06 10:00:00,2014-04-06,10,86,Sunday
2014-04-06 11:00:00,2014-04-06,11,89,Sunday
2014-04-06 12:00:00,2014-04-06,12,79,Sunday
2014-04-06 13:00:00,2014-04-06,13,113,Sunday
2014-04-06 14:00:00,2014-04-06,14,92,Sunday
2014-04-06 15:00:00,2014-04-06,15,86,Sunday
2014-04-06 16:00:00,2014-04-06,16,82,Sunday
2014-04-06 17:00:00,2014-04-06,17,89,Sunday
2014-04-06 18:00:00,2014-04-06,18,85,Sunday
2014-04-06 19:00:00,2014-04-06,19,87,Sunday
2014-04-06 20:00:00,2014-04-06,20,56,Sunday
2014-04-06 21:00:00,2014-04-06,21,86,Sunday
2014-04-06 22:00:00,2014-04-06,22,70,Sunday
2014-04-06 23:00:00,2014-04-06,23,43,Sunday
2014-04-12 00:00:00,2014-04-12,0,85,Saturday
2014-04-12 01:00:00,2014-04-12,1,57,Saturday
2014-04-12 02:00:00,2014-04-12,2,48,Saturday
2014-04-12 03:00:00,2014-04-12,3,27,Saturday
