,Date,Hour,Count,Weekday
2014-04-01 00:00:00,2014-04-01,0,5,Tuesday
2014-04-01 01:00:00,2014-04-01,1,2,Tuesday
2014-04-01 02:00:00,2014-04-01,2,3,Tuesday
2014-04-01 03:00:00,2014-04-01,3,11,Tuesday
2014-04-01 04:00:00,2014-04-01,4,5,Tuesday
2014-04-01 05:00:00,2014-04-01,5,15,Tuesday
2014-04-01 06:00:00,2014-04-01,6,21,Tuesday
2014-04-01 07:00:00,2014-04-01,7,25,Tuesday
2014-04-01 08:00:00,2014-04-01,8,33,Tuesday
2014-04-01 09:00:00,2014-04-01,9,32,Tuesday
2014-04-01 10:00:00,2014-04-01,10,21,Tuesday
2014-04-01 11:00:00,2014-04-01,11,41,Tuesday
2014-04-01 12:00:00,2014-04-01,12,40,Tuesday
2014-04-01 13:00:00,2014-04-01,13,39,Tuesday
2014-04-01 14:00:00,2014-04-01,14,30,Tuesday
2014-04-01 15:00:00,2014-04-01,15,48,Tuesday
2014-04-01 16:00:00,2014-04-01,16,46,Tuesday
2014-04-01 17:00:00,2014-04-01,17,45,Tuesday
2014-04-01 18:00:00,2014-04-01,18,35,Tuesday
2014-04-01 19:00:00,2014-04-01,19,39,Tuesday
2014-04-01 20:00:00,2014-04-01,20,24,Tuesday
2014-04-01 21:00:00,2014-04-01,21,55,Tuesday
2014-04-01 22:00:00,2014-04-01,22,21,Tuesday
2014-04-01 23:00:00,2014-04-01,23,8,Tuesday
2014-04-02 00:00:00,2014-04-02,0,5,Wednesday
2014-04-02 01:00:00,2014-04-02,1,3,Wednesday
2014-04-02 02:00:00,2014-04-02,2,4,Wednesday
2014-04-02 03:00:00,2014-04-02,3,3,Wednesday
2014-04-02 04:00:00,2014-04-02,4,12,Wednesday
2014-04-02 05:00:00,2014-04-02,5,10,Wednesday
2014-04-02 06:00:00,2014-04-02,6,25,Wednesday
2014-04-02 07:00:00,2014-04-02,7,31,Wednesday
2014-04-02 08:00:00,2014-04-02,8,32,Wednesday
2014-04-02 09:00:00,2014-04-02,9,42,Wednesday
2014-04-02 10:00:00,2014-04-02,10,32,Wednesday
2014-04-02 11:00:00,2014-04-02,11,41,Wednesday
2014-04-02 12:00:00,2014-04-02,12,45,Wednesday
2014-04-02 13:00:00,2014-04-02,13,36,Wednesday
2014-04-02 14:00:00,2014-04-02,14,37,Wednesday
2014-04-02 15:00:00,2014-04-02,15,27,Wednesday
2014-04-02 16:00:00,2014-04-02,16,35,Wednesday
2014-04-02 17:00:00,2014-04-02,17,42,Wednesday
2014-04-02 18:00:00,2014-04-02,18,48,Wednesday
2014-04-02 19:00:00,2014-04-02,19,47,Wednesday
2014-04-02 20:00:00,2014-04-02,20,52,Wednesday
2014-04-02 21:00:00,2014-04-02,21,56,Wednesday
2014-04-02 22:00:00,2014-04-02,22,32,Wednesday
2014-04-02 23:00:00,2014-04-02,23,6,Wednesday
2014-04-03 00:00:00,2014-04-03,0,8,Thursday
2014-04-03 01:00:00,2014-04-03,1,1,Thursday
2014-04-03 02:00:00,2014-04-03,2,2,Thursday
2014-04-03 03:00:00,2014-04-03,3,3,Thursday
2014-04-03 04:00:00,2014-04-03,4,11,Thursday
2014-04-03 05:00:00,2014-04-03,5,16,Thursday
2014-04-03 06:00:00,2014-04-03,6,21,Thursday
2014-04-03 07:00:00,2014-04-03,7,30,Thursday
2014-04-03 08:00:00,2014-04-03,8,35,Thursday
2014-04-03 09:00:00,2014-04-03,9,48,Thursday
2014-04-03 10:00:00,2014-04-03,10,39,Thursday
2014-04-03 11:00:00,2014-04-03,11,30,Thursday
2014-04-03 12:00:00,2014-04-03,12,39,Thursday
2014-04-03 13:00:00,2014-04-03,13,46,Thursday
2014-04-03 14:00:00,2014-04-03,14,41,Thursday
2014-04-03 15:00:00,2014-04-03,15,54,Thursday
2014-04-03 16:00:00,2014-04-03,16,66,Thursday
2014-04-03 17:00:00,2014-04-03,17,59,Thursday
2014-04-03 18:00:00,2014-04-03,18,102,Thursday
2014-04-03 19:00:00,2014-04-03,19,78,Thursday
2014-04-03 20:00:00,2014-04-03,20,64,Thursday
2014-04-03 21:00:00,2014-04-03,21,66,Thursday
2014-04-03 22:00:00,2014-04-03,22,37,Thursday
2014-04-03 23:00:00,2014-04-03,23,23,Thursday
2014-04-04 00:00:00,2014-04-04,0,10,Friday
2014-04-04 01:00:00,2014-04-04,1,3,Friday
2014-04-04 02:00:00,2014-04-04,2,5,Friday
2014-04-04 03:00:00,2014-04-04,3,13,Friday
2014-04-04 04:00:00,2014-04-04,4,9,Friday
2014-04-04 05:00:00,2014-04-04,5,21,Friday
2014-04-04 06:00:00,2014-04-04,6,24,Friday
2014-04-04 07:00:00,2014-04-04,7,26,Friday
2014-04-04 08:00:00,2014-04-04,8,25,Friday
2014-04-04 09:00:00,2014-04-04,9,35,Friday
2014-04-04 10:00:00,2014-04-04,10,34,Friday
2014-04-04 11:00:00,2014-04-04,11,30,Friday
2014-04-04 12:00:00,2014-04-04,12,36,Friday
2014-04-04 13:00:00,2014-04-04,13,42,Friday
2014-04-04 14:00:00,2014-04-04,14,44,Friday
2014-04-04 15:00:00,2014-04-04,15,62,Friday
2014-04-04 16:00:00,2014-04-04,16,58,Friday
2014-04-04 17:00:00,2014-04-04,17,61,Friday
2014-04-04 18:00:00,2014-04-04,18,42,Friday
2014-04-04 19:00:00,2014-04-04,19,55,Friday
2014-04-04 20:00:00,2014-04-04,20,48,Friday
2014-04-04 21:00:00,2014-04-04,21,50,Friday
2014-04-04 22:00:00,2014-04-04,22,43,Friday
2014-04-04 23:00:00,2014-04-04,23,27,Friday
2014-04-07 00:00:00,2014-04-07,0,4,Monday
2014-04-07 01:00:00,2014-04-07,1,5,Monday
2014-04-07 02:00:00,2014-04-07,2,6,Monday
2014-04-07 03:00:00,2014-04-07,3,9,Monday
2014-04-07 04:00:00,2014-04-07,4,8,Monday
2014-04-07 05:00:00,2014-04-07,5,20,Monday
2014-04-07 06:00:00,2014-04-07,6,39,Monday
2014-04-07 07:00:00,2014-04-07,7,43,Monday
2014-04-07 08:00:00,2014-04-07,8,65,Monday
2014-04-07 09:00:00,2014-04-07,9,54,Monday
2014-04-07 10:00:00,2014-04-07,10,42,Monday
2014-04-07 11:00:00,2014-04-07,11,40,Monday
2014-04-07 12:00:00,2014-04-07,12,34,Monday
2014-04-07 13:00:00,2014-04-07,13,40,Monday
2014-04-07 14:00:00,2014-04-07,14,57,Monday
