,Date,Hour,Count,Weekday
2014-06-01 00:00:00,2014-06-01,0,33,Sunday
2014-06-01 01:00:00,2014-06-01,1,15,Sunday
2014-06-01 02:00:00,2014-06-01,2,22,Sunday
2014-06-01 03:00:00,2014-06-01,3,11,Sunday
2014-06-01 04:00:00,2014-06-01,4,9,Sunday
2014-06-01 05:00:00,2014-06-01,5,10,Sunday
2014-06-01 06:00:00,2014-06-01,6,13,Sunday
2014-06-01 07:00:00,2014-06-01,7,22,Sunday
2014-06-01 08:00:00,2014-06-01,8,23,Sunday
2014-06-01 09:00:00,2014-06-01,9,24,Sunday
2014-06-01 10:00:00,2014-06-01,10,39,Sunday
2014-06-01 11:00:00,2014-06-01,11,50,Sunday
2014-06-01 12:00:00,2014-06-01,12,69,Sunday
2014-06-01 13:00:00,2014-06-01,13,75,Sunday
2014-06-01 14:00:00,2014-06-01,14,79,Sunday
2014-06-01 15:00:00,2014-06-01,15,106,Sunday
2014-06-01 16:00:00,2014-06-01,16,86,Sunday
2014-06-01 17:00:00,2014-06-01,17,76,Sunday
2014-06-01 18:00:00,2014-06-01,18,78,Sunday
2014-06-01 19:00:00,2014-06-01,19,80,Sunday
2014-06-01 20:00:00,2014-06-01,20,104,Sunday
2014-06-01 21:00:00,2014-06-01,21,105,Sunday
2014-06-01 22:00:00,2014-06-01,22,92,Sunday
2014-06-01 23:00:00,2014-06-01,23,21,Sunday
2014-06-07 00:00:00,2014-06-07,0,37,Saturday
2014-06-07 01:00:00,2014-06-07,1,23,Saturday
2014-06-07 02:00:00,2014-06-07,2,10,Saturday
2014-06-07 03:00:00,2014-06-07,3,18,Saturday
2014-06-07 04:00:00,2014-06-07,4,10,Saturday
2014-06-07 05:00:00,2014-06-07,5,12,Saturday
2014-06-07 06:00:00,2014-06-07,6,9,Saturday
2014-06-07 07:00:00,2014-06-07,7,17,Saturday
2014-06-07 08:00:00,2014-06-07,8,36,Saturday
2014-06-07 09:00:00,2014-06-07,9,43,Saturday
2014-06-07 10:00:00,2014-06-07,10,60,Saturday
2014-06-07 11:00:00,2014-06-07,11,58,Saturday
2014-06-07 12:00:00,2014-06-07,12,63,Saturday
2014-06-07 13:00:00,2014-06-07,13,57,Saturday
2014-06-07 14:00:00,2014-06-07,14,87,Saturday
2014-06-07 15:00:00,2014-06-07,15,72,Saturday
2014-06-07 16:00:00,2014-06-07,16,81,Saturday
2014-06-07 17:00:00,2014-06-07,17,74,Saturday
2014-06-07 18:00:00,2014-06-07,18,72,Saturday
2014-06-07 19:00:00,2014-06-07,19,69,Saturday
2014-06-07 20:00:00,2014-06-07,20,92,Saturday
2014-06-07 21:00:00,2014-06-07,21,133,Saturday
2014-06-07 22:00:00,2014-06-07,22,175,Saturday
2014-06-07 23:00:00,2014-06-07,23,87,Saturday
2014-06-08 00:00:00,2014-06-08,0,46,Sunday
2014-06-08 01:00:00,2014-06-08,1,23,Sunday
2014-06-08 02:00:00,2014-06-08,2,20,Sunday
2014-06-08 03:00:00,2014-06-08,3,13,Sunday
2014-06-08 04:00:00,2014-06-08,4,11,Sunday
2014-06-08 05:00:00,2014-06-08,5,12,Sunday
2014-06-08 06:00:00,2014-06-08,6,12,Sunday
2014-06-08 07:00:00,2014-06-08,7,17,Sunday
2014-06-08 08:00:00,2014-06-08,8,33,Sunday
2014-06-08 09:00:00,2014-06-08,9,41,Sunday
2014-06-08 10:00:00,2014-06-08,10,52,Sunday
2014-06-08 11:00:00,2014-06-08,11,61,Sunday
2014-06-08 12:00:00,2014-06-08,12,51,Sunday
2014-06-08 13:00:00,2014-06-08,13,69,Sunday
2014-06-08 14:00:00,2014-06-08,14,72,Sunday
2014-06-08 15:00:00,2014-06-08,15,75,Sunday
2014-06-08 16:00:00,2014-06-08,16,106,Sunday
2014-06-08 17:00:00,2014-06-08,17,82,Sunday
2014-06-08 18:00:00,2014-06-08,18,80,Sunday
2014-06-08 19:00:00,2014-06-08,19,88,Sunday
2014-06-08 20:00:00,2014-06-08,20,112,Sunday
2014-06-08 21:00:00,2014-06-08,21,147,Sunday
2014-06-08 22:00:00,2014-06-08,22,157,Sunday
2014-06-08 23:00:00,2014-06-08,23,50,Sunday
2014-06-14 00:00:00,2014-06-14,0,39,Saturday
2014-06-14 01:00:00,2014-06-14,1,17,Saturday
2014-06-14 02:00:00,2014-06-14,2,14,Saturday
2014-06-14 03:00:00,2014-06-14,3,18,Saturday
2014-06-14 04:00:00,2014-06-14,4,13,Saturday
2014-06-14 05:00:00,2014-06-14,5,7,Saturday
2014-06-14 06:00:00,2014-06-14,6,21,Saturday
2014-06-14 07:00:00,2014-06-14,7,25,Saturday
