,Date,Hour,Count,Weekday
2014-04-01 00:00:00,2014-04-01,0,138,Tuesday
2014-04-01 01:00:00,2014-04-01,1,66,Tuesday
2014-04-01 02:00:00,2014-04-01,2,53,Tuesday
2014-04-01 03:00:00,2014-04-01,3,93,Tuesday
2014-04-01 04:00:00,2014-04-01,4,166,Tuesday
2014-04-01 05:00:00,2014-04-01,5,333,Tuesday
2014-04-01 06:00:00,2014-04-01,6,722,Tuesday
2014-04-01 07:00:00,2014-04-01,7,1001,Tuesday
2014-04-01 08:00:00,2014-04-01,8,780,Tuesday
2014-04-01 09:00:00,2014-04-01,9,532,Tuesday
2014-04-01 10:00:00,2014-04-01,10,477,Tuesday
2014-04-01 11:00:00,2014-04-01,11,547,Tuesday
2014-04-01 12:00:00,2014-04-01,12,469,Tuesday
2014-04-01 13:00:00,2014-04-01,13,591,Tuesday
2014-04-01 14:00:00,2014-04-01,14,736,Tuesday
2014-04-01 15:00:00,2014-04-01,15,967,Tuesday
2014-04-01 16:00:00,2014-04-01,16,1152,Tuesday
2014-04-01 17:00:00,2014-04-01,17,1262,Tuesday
2014-04-01 18:00:00,2014-04-01,18,1122,Tuesday
2014-04-01 19:00:00,2014-04-01,19,1018,Tuesday
2014-04-01 20:00:00,2014-04-01,20,597,Tuesday
2014-04-01 21:00:00,2014-04-01,21,878,Tuesday
2014-04-01 22:00:00,2014-04-01,22,529,Tuesday
2014-04-01 23:00:00,2014-04-01,23,317,Tuesday
2014-04-02 00:00:00,2014-04-02,0,161,Wednesday
2014-04-02 01:00:00,2014-04-02,1,82,Wednesday
2014-04-02 02:00:00,2014-04-02,2,59,Wednesday
2014-04-02 03:00:00,2014-04-02,3,80,Wednesday
2014-04-02 04:00:00,2014-04-02,4,196,Wednesday
2014-04-02 05:00:00,2014-04-02,5,344,Wednesday
2014-04-02 06:00:00,2014-04-02,6,785,Wednesday
2014-04-02 07:00:00,2014-04-02,7,1099,Wednesday
2014-04-02 08:00:00,2014-04-02,8,927,Wednesday
2014-04-02 09:00:00,2014-04-02,9,656,Wednesday
2014-04-02 10:00:00,2014-04-02,10,658,Wednesday
2014-04-02 11:00:00,2014-04-02,11,706,Wednesday
2014-04-02 12:00:00,2014-04-02,12,632,Wednesday
2014-04-02 13:00:00,2014-04-02,13,709,Wednesday
2014-04-02 14:00:00,2014-04-02,14,868,Wednesday
2014-04-02 15:00:00,2014-04-02,15,1138,Wednesday
2014-04-02 16:00:00,2014-04-02,16,1313,Wednesday
2014-04-02 17:00:00,2014-04-02,17,1600,Wednesday
2014-04-02 18:00:00,2014-04-02,18,1252,Wednesday
2014-04-02 19:00:00,2014-04-02,19,1086,Wednesday
2014-04-02 20:00:00,2014-04-02,20,1143,Wednesday
2014-04-02 21:00:00,2014-04-02,21,994,Wednesday
2014-04-02 22:00:00,2014-04-02,22,638,Wednesday
2014-04-02 23:00:00,2014-04-02,23,348,Wednesday
2014-04-03 00:00:00,2014-04-03,0,194,Thursday
2014-04-03 01:00:00,2014-04-03,1,106,Thursday
2014-04-03 02:00:00,2014-04-03,2,66,Thursday
2014-04-03 03:00:00,2014-04-03,3,130,Thursday
2014-04-03 04:00:00,2014-04-03,4,193,Thursday
2014-04-03 05:00:00,2014-04-03,5,354,Thursday
2014-04-03 06:00:00,2014-04-03,6,750,Thursday
2014-04-03 07:00:00,2014-04-03,7,1022,Thursday
2014-04-03 08:00:00,2014-04-03,8,864,Thursday
2014-04-03 09:00:00,2014-04-03,9,591,Thursday
2014-04-03 10:00:00,2014-04-03,10,558,Thursday
2014-04-03 11:00:00,2014-04-03,11,549,Thursday
2014-04-03 12:00:00,2014-04-03,12,619,Thursday
2014-04-03 13:00:00,2014-04-03,13,766,Thursday
2014-04-03 14:00:00,2014-04-03,14,934,Thursday
2014-04-03 15:00:00,2014-04-03,15,1247,Thursday
2014-04-03 16:00:00,2014-04-03,16,1438,Thursday
2014-04-03 17:00:00,2014-04-03,17,1640,Thursday
2014-04-03 18:00:00,2014-04-03,18,1628,Thursday
2014-04-03 19:00:00,2014-04-03,19,1374,Thursday
2014-04-03 20:00:00,2014-04-03,20,1591,Thursday
2014-04-03 21:00:00,2014-04-03,21,1714,Thursday
2014-04-03 22:00:00,2014-04-03,22,1580,Thursday
2014-04-03 23:00:00,2014-04-03,23,793,Thursday
2014-04-04 00:00:00,2014-04-04,0,329,Friday
2014-04-04 01:00:00,2014-04-04,1,184,Friday
2014-04-04 02:00:00,2014-04-04,2,117,Friday
2014-04-04 03:00:00,2014-04-04,3,154,Friday
2014-04-04 04:00:00,2014-04-04,4,238,Friday
2014-04-04 05:00:00,2014-04-04,5,381,Friday
2014-04-04 06:00:00,2014-04-04,6,839,Friday
2014-04-04 07:00:00,2014-04-04,7,1202,Friday
2014-04-04 08:00:00,2014-04-04,8,1065,Friday
2014-04-04 09:00:00,2014-04-04,9,769,Friday
2014-04-04 10:00:00,2014-04-04,10,759,Friday
2014-04-04 11:00:00,2014-04-04,11,819,Friday
2014-04-04 12:00:00,2014-04-04,12,827,Friday
2014-04-04 13:00:00,2014-04-04,13,994,Friday
2014-04-04 14:00:00,2014-04-04,14,1190,Friday
2014-04-04 15:00:00,2014-04-04,15,1504,Friday
2014-04-04 16:00:00,2014-04-04,16,1865,Friday
2014-04-04 17:00:00,2014-04-04,17,2280,Friday
2014-04-04 18:00:00,2014-04-04,18,2449,Friday
2014-04-04 19:00:00,2014-04-04,19,2133,Friday
2014-04-04 20:00:00,2014-04-04,20,1489,Friday
2014-04-04 21:00:00,2014-04-04,21,1929,Friday
2014-04-04 22:00:00,2014-04-04,22,1859,Friday
2014-04-04 23:00:00,2014-04-04,23,1339,Friday
2014-04-05 00:00:00,2014-04-05,0,723,Saturday
2014-04-05 01:00:00,2014-04-05,1,416,Saturday
2014-04-05 02:00:00,2014-04-05,2,215,Saturday
2014-04-05 03:00:00,2014-04-05,3,181,Saturday
2014-04-05 04:00:00,2014-04-05,4,153,Saturday
2014-04-05 05:00:00,2014-04-05,5,177,Saturday
2014-04-05 06:00:00,2014-04-05,6,206,Saturday
2014-04-05 07:00:00,2014-04-05,7,279,Saturday
2014-04-05 08:00:00,2014-04-05,8,340,Saturday
2014-04-05 09:00:00,2014-04-05,9,450,Saturday
2014-04-05 10:00:00,2014-04-05,10,530,Saturday
2014-04-05 11:00:00,2014-04-05,11,542,Saturday
2014-04-05 12:00:00,2014-04-05,12,657,Saturday
2014-04-05 13:00:00,2014-04-05,13,647,Saturday
2014-04-05 14:00:00,2014-04-05,14,704,Saturday
2014-04-05 15:00:00,2014-04-05,15,1078,Saturday
2014-04-05 16:00:00,2014-04-05,16,1313,Saturday
2014-04-05 17:00:00,2014-04-05,17,1445,Saturday
2014-04-05 18:00:00,2014-04-05,18,1575,Saturday
2014-04-05 19:00:00,2014-04-05,19,1440,Saturday
2014-04-05 20:00:00,2014-04-05,20,1348,Saturday
