,Date,Hour,Count,Weekday
2014-04-05 00:00:00,2014-04-05,0,723,Saturday
2014-04-05 01:00:00,2014-04-05,1,416,Saturday
2014-04-05 02:00:00,2014-04-05,2,215,Saturday
2014-04-05 03:00:00,2014-04-05,3,181,Saturday
2014-04-05 04:00:00,2014-04-05,4,153,Saturday
2014-04-05 05:00:00,2014-04-05,5,177,Saturday
2014-04-05 06:00:00,2014-04-05,6,206,Saturday
2014-04-05 07:00:00,2014-04-05,7,279,Saturday
2014-04-05 08:00:00,2014-04-05,8,340,Saturday
2014-04-05 09:00:00,2014-04-05,9,450,Saturday
2014-04-05 10:00:00,2014-04-05,10,530,Saturday
2014-04-05 11:00:00,2014-04-05,11,542,Saturday
2014-04-05 12:00:00,2014-04-05,12,657,Saturday
2014-04-05 13:00:00,2014-04-05,13,647,Saturday
2014-04-05 14:00:00,2014-04-05,14,704,Saturday
2014-04-05 15:00:00,2014-04-05,15,1078,Saturday
2014-04-05 16:00:00,2014-04-05,16,1313,Saturday
2014-04-05 17:00:00,2014-04-05,17,1445,Saturday
2014-04-05 18:00:00,2014-04-05,18,1575,Saturday
2014-04-05 19:00:00,2014-04-05,19,1440,Saturday
2014-04-05 20:00:00,2014-04-05,20,1348,Saturday
2014-04-05 21:00:00,2014-04-05,21,1572,Saturday
2014-04-05 22:00:00,2014-04-05,22,1830,Saturday
2014-04-05 23:00:00,2014-04-05,23,1700,Saturday
2014-04-06 00:00:00,2014-04-06,0,1485,Sunday
2014-04-06 01:00:00,2014-04-06,1,940,Sunday
2014-04-06 02:00:00,2014-04-06,2,501,Sunday
2014-04-06 03:00:00,2014-04-06,3,315,Sunday
2014-04-06 04:00:00,2014-04-06,4,201,Sunday
2014-04-06 05:00:00,2014-04-06,5,177,Sunday
2014-04-06 06:00:00,2014-04-06,6,174,Sunday
2014-04-06 07:00:00,2014-04-06,7,226,Sunday
2014-04-06 08:00:00,2014-04-06,8,313,Sunday
2014-04-06 09:00:00,2014-04-06,9,441,Sunday
2014-04-06 10:00:00,2014-04-06,10,547,Sunday
2014-04-06 11:00:00,2014-04-06,11,563,Sunday
2014-04-06 12:00:00,2014-04-06,12,594,Sunday
2014-04-06 13:00:00,2014-04-06,13,677,Sunday
2014-04-06 14:00:00,2014-04-06,14,698,Sunday
2014-04-06 15:00:00,2014-04-06,15,847,Sunday
2014-04-06 16:00:00,2014-04-06,16,806,Sunday
2014-04-06 17:00:00,2014-04-06,17,799,Sunday
2014-04-06 18:00:00,2014-04-06,18,767,Sunday
2014-04-06 19:00:00,2014-04-06,19,641,Sunday
2014-04-06 20:00:00,2014-04-06,20,516,Sunday
2014-04-06 21:00:00,2014-04-06,21,571,Sunday
2014-04-06 22:00:00,2014-04-06,22,390,Sunday
2014-04-06 23:00:00,2014-04-06,23,256,Sunday
2014-04-12 00:00:00,2014-04-12,0,666,Saturday
2014-04-12 01:00:00,2014-04-12,1,458,Saturday
2014-04-12 02:00:00,2014-04-12,2,272,Saturday
2014-04-12 03:00:00,2014-04-12,3,178,Saturday
2014-04-12 04:00:00,2014-04-12,4,159,Saturday
2014-04-12 05:00:00,2014-04-12,5,170,Saturday
2014-04-12 06:00:00,2014-04-12,6,200,Saturday
2014-04-12 07:00:00,2014-04-12,7,255,Saturday
2014-04-12 08:00:00,2014-04-12,8,344,Saturday
2014-04-12 09:00:00,2014-04-12,9,409,Saturday
2014-04-12 10:00:00,2014-04-12,10,514,Saturday
2014-04-12 11:00:00,2014-04-12,11,544,Saturday
2014-04-12 12:00:00,2014-04-12,12,611,Saturday
2014-04-12 13:00:00,2014-04-12,13,628,Saturday
2014-04-12 14:00:00,2014-04-12,14,715,Saturday
2014-04-12 15:00:00,2014-04-12,15,1083,Saturday
2014-04-12 16:00:00,2014-04-12,16,1292,Saturday
2014-04-12 17:00:00,2014-04-12,17,1230,Saturday
2014-04-12 18:00:00,2014-04-12,18,1617,Saturday
2014-04-12 19:00:00,2014-04-12,19,1271,Saturday
2014-04-12 20:00:00,2014-04-12,20,1063,Saturday
2014-04-12 21:00:00,2014-04-12,21,1382,Saturday
2014-04-12 22:00:00,2014-04-12,22,1648,Saturday
2014-04-12 23:00:00,2014-04-12,23,1461,Saturday
2014-04-13 00:00:00,2014-04-13,0,1130,Sunday
2014-04-13 01:00:00,2014-04-13,1,670,Sunday
2014-04-13 02:00:00,2014-04-13,2,337,Sunday
2014-04-13 03:00:00,2014-04-13,3,236,Sunday
2014-04-13 04:00:00,2014-04-13,4,155,Sunday
2014-04-13 05:00:00,2014-04-13,5,130,Sunday
2014-04-13 06:00:00,2014-04-13,6,179,Sunday
2014-04-13 07:00:00,2014-04-13,7,217,Sunday
2014-04-13 08:00:00,2014-04-13,8,294,Sunday
2014-04-13 09:00:00,2014-04-13,9,439,Sunday
2014-04-13 10:00:00,2014-04-13,10,489,Sunday
2014-04-13 11:00:00,2014-04-13,11,581,Sunday
2014-04-13 12:00:00,2014-04-13,12,580,Sunday
2014-04-13 13:00:00,2014-04-13,13,652,Sunday
2014-04-13 14:00:00,2014-04-13,14,740,Sunday
2014-04-13 15:00:00,2014-04-13,15,812,Sunday
2014-04-13 16:00:00,2014-04-13,16,878,Sunday
2014-04-13 17:00:00,2014-04-13,17,775,Sunday
2014-04-13 18:00:00,2014-04-13,18,647,Sunday
2014-04-13 19:00:00,2014-04-13,19,554,Sunday
2014-04-13 20:00:00,2014-04-13,20,490,Sunday
2014-04-13 21:00:00,2014-04-13,21,514,Sunday
2014-04-13 22:00:00,2014-04-13,22,385,Sunday
2014-04-13 23:00:00,2014-04-13,23,228,Sunday
2014-04-19 00:00:00,2014-04-19,0,635,Saturday
2014-04-19 01:00:00,2014-04-19,1,443,Saturday
2014-04-19 02:00:00,2014-04-19,2,301,Saturday
2014-04-19 03:00:00,2014-04-19,3,223,Saturday
2014-04-19 04:00:00,2014-04-19,4,151,Saturday
2014-04-19 05:00:00,2014-04-19,5,154,Saturday
2014-04-19 06:00:00,2014-04-19,6,176,Saturday
2014-04-19 07:00:00,2014-04-19,7,221,Saturday
2014-04-19 08:00:00,2014-04-19,8,290,Saturday
2014-04-19 09:00:00,2014-04-19,9,386,Saturday
2014-04-19 10:00:00,2014-04-19,10,464,Saturday
2014-04-19 11:00:00,2014-04-19,11,542,Saturday
2014-04-19 12:00:00,2014-04-19,12,603,Saturday
2014-04-19 13:00:00,2014-04-19,13,616,Saturday
2014-04-19 14:00:00,2014-04-19,14,677,Saturday
2014-04-19 15:00:00,2014-04-19,15,912,Saturday
2014-04-19 16:00:00,2014-04-19,16,1014,Saturday
2014-04-19 17:00:00,2014-04-19,17,979,Saturday
2014-04-19 18:00:00,2014-04-19,18,1036,Saturday
2014-04-19 19:00:00,2014-04-19,19,1004,Saturday
2014-04-19 20:00:00,2014-04-19,20,828,Saturday
2014-04-19 21:00:00,2014-04-19,21,992,Saturday
2014-04-19 22:00:00,2014-04-19,22,1105,Saturday
2014-04-19 23:00:00,2014-04-19,23,850,Saturday
2014-04-20 00:00:00,2014-04-20,0,544,Sunday
2014-04-20 01:00:00,2014-04-20,1,433,Sunday
2014-04-20 02:00:00,2014-04-20,2,275,Sunday
2014-04-20 03:00:00,2014-04-20,3,209,Sunday
2014-04-20 04:00:00,2014-04-20,4,149,Sunday
2014-04-20 05:00:00,2014-04-20,5,118,Sunday
2014-04-20 06:00:00,2014-04-20,6,126,Sunday
2014-04-20 07:00:00,2014-04-20,7,183,Sunday
2014-04-20 08:00:00,2014-04-20,8,291,Sunday
2014-04-20 09:00:00,2014-04-20,9,431,Sunday
2014-04-20 10:00:00,2014-04-20,10,509,Sunday
2014-04-20 11:00:00,2014-04-20,11,579,Sunday
2014-04-20 12:00:00,2014-04-20,12,619,Sunday
2014-04-20 13:00:00,2014-04-20,13,642,Sunday
2014-04-20 14:00:00,2014-04-20,14,604,Sunday
2014-04-20 15:00:00,2014-04-20,15,727,Sunday
2014-04-20 16:00:00,2014-04-20,16,735,Sunday
2014-04-20 17:00:00,2014-04-20,17,618,Sunday
2014-04-20 18:00:00,2014-04-20,18,664,Sunday
2014-04-20 19:00:00,2014-04-20,19,696,Sunday
2014-04-20 20:00:00,2014-04-20,20,631,Sunday
2014-04-20 21:00:00,2014-04-20,21,596,Sunday
2014-04-20 22:00:00,2014-04-20,22,404,Sunday
2014-04-20 23:00:00,2014-04-20,23,234,Sunday
2014-04-26 00:00:00,2014-04-26,0,1003,Saturday
2014-04-26 01:00:00,2014-04-26,1,1162,Saturday
2014-04-26 02:00:00,2014-04-26,2,789,Saturday
2014-04-26 03:00:00,2014-04-26,3,431,Saturday
2014-04-26 04:00:00,2014-04-26,4,243,Saturday
2014-04-26 05:00:00,2014-04-26,5,203,Saturday
2014-04-26 06:00:00,2014-04-26,6,262,Saturday
2014-04-26 07:00:00,2014-04-26,7,355,Saturday
2014-04-26 08:00:00,2014-04-26,8,398,Saturday
2014-04-26 09:00:00,2014-04-26,9,519,Saturday
2014-04-26 10:00:00,2014-04-26,10,578,Saturday
2014-04-26 11:00:00,2014-04-26,11,687,Saturday
2014-04-26 12:00:00,2014-04-26,12,689,Saturday
2014-04-26 13:00:00,2014-04-26,13,794,Saturday
2014-04-26 14:00:00,2014-04-26,14,946,Saturday
2014-04-26 15:00:00,2014-04-26,15,1384,Saturday
2014-04-26 16:00:00,2014-04-26,16,1791,Saturday
2014-04-26 17:00:00,2014-04-26,17,1904,Saturday
2014-04-26 18:00:00,2014-04-26,18,1937,Saturday
2014-04-26 19:00:00,2014-04-26,19,1814,Saturday
2014-04-26 20:00:00,2014-04-26,20,1553,Saturday
2014-04-26 21:00:00,2014-04-26,21,1865,Saturday
2014-04-26 22:00:00,2014-04-26,22,1910,Saturday
2014-04-26 23:00:00,2014-04-26,23,1708,Saturday
2014-04-27 00:00:00,2014-04-27,0,1383,Sunday
2014-04-27 01:00:00,2014-04-27,1,893,Sunday
2014-04-27 02:00:00,2014-04-27,2,477,Sunday
2014-04-27 03:00:00,2014-04-27,3,292,Sunday
2014-04-27 04:00:00,2014-04-27,4,180,Sunday
2014-04-27 05:00:00,2014-04-27,5,168,Sunday
2014-04-27 06:00:00,2014-04-27,6,190,Sunday
2014-04-27 07:00:00,2014-04-27,7,247,Sunday
2014-04-27 08:00:00,2014-04-27,8,335,Sunday
2014-04-27 09:00:00,2014-04-27,9,459,Sunday
2014-04-27 10:00:00,2014-04-27,10,568,Sunday
2014-04-27 11:00:00,2014-04-27,11,637,Sunday
2014-04-27 12:00:00,2014-04-27,12,685,Sunday
2014-04-27 13:00:00,2014-04-27,13,792,Sunday
2014-04-27 14:00:00,2014-04-27,14,892,Sunday
2014-04-27 15:00:00,2014-04-27,15,1014,Sunday
2014-04-27 16:00:00,2014-04-27,16,1070,Sunday
2014-04-27 17:00:00,2014-04-27,17,962,Sunday
2014-04-27 18:00:00,2014-04-27,18,717,Sunday
2014-04-27 19:00:00,2014-04-27,19,688,Sunday
2014-04-27 20:00:00,2014-04-27,20,639,Sunday
2014-04-27 21:00:00,2014-04-27,21,629,Sunday
2014-04-27 22:00:00,2014-04-27,22,460,Sunday
2014-04-27 23:00:00,2014-04-27,23,300,Sunday
2014-05-03 00:00:00,2014-05-03,0,848,Saturday
2014-05-03 01:00:00,2014-05-03,1,529,Saturday
2014-05-03 02:00:00,2014-05-03,2,329,Saturday
2014-05-03 03:00:00,2014-05-03,3,238,Saturday
2014-05-03 04:00:00,2014-05-03,4,213,Saturday
2014-05-03 05:00:00,2014-05-03,5,198,Saturday
2014-05-03 06:00:00,2014-05-03,6,232,Saturday
2014-05-03 07:00:00,2014-05-03,7,307,Saturday
2014-05-03 08:00:00,2014-05-03,8,407,Saturday
2014-05-03 09:00:00,2014-05-03,9,506,Saturday
2014-05-03 10:00:00,2014-05-03,10,580,Saturday
2014-05-03 11:00:00,2014-05-03,11,672,Saturday
2014-05-03 12:00:00,2014-05-03,12,708,Saturday
2014-05-03 13:00:00,2014-05-03,13,826,Saturday
2014-05-03 14:00:00,2014-05-03,14,968,Saturday
2014-05-03 15:00:00,2014-05-03,15,1456,Saturday
2014-05-03 16:00:00,2014-05-03,16,1715,Saturday
2014-05-03 17:00:00,2014-05-03,17,1483,Saturday
2014-05-03 18:00:00,2014-05-03,18,2249,Saturday
2014-05-03 19:00:00,2014-05-03,19,1581,Saturday
2014-05-03 20:00:00,2014-05-03,20,1410,Saturday
2014-05-03 21:00:00,2014-05-03,21,1751,Saturday
2014-05-03 22:00:00,2014-05-03,22,1637,Saturday
2014-05-03 23:00:00,2014-05-03,23,1391,Saturday
2014-05-04 00:00:00,2014-05-04,0,1152,Sunday
2014-05-04 01:00:00,2014-05-04,1,641,Sunday
2014-05-04 02:00:00,2014-05-04,2,418,Sunday
2014-05-04 03:00:00,2014-05-04,3,315,Sunday
2014-05-04 04:00:00,2014-05-04,4,245,Sunday
2014-05-04 05:00:00,2014-05-04,5,178,Sunday
2014-05-04 06:00:00,2014-05-04,6,163,Sunday
2014-05-04 07:00:00,2014-05-04,7,209,Sunday
2014-05-04 08:00:00,2014-05-04,8,239,Sunday
2014-05-04 09:00:00,2014-05-04,9,330,Sunday
2014-05-04 10:00:00,2014-05-04,10,412,Sunday
2014-05-04 11:00:00,2014-05-04,11,537,Sunday
2014-05-04 12:00:00,2014-05-04,12,621,Sunday
2014-05-04 13:00:00,2014-05-04,13,730,Sunday
2014-05-04 14:00:00,2014-05-04,14,851,Sunday
2014-05-04 15:00:00,2014-05-04,15,1029,Sunday
2014-05-04 16:00:00,2014-05-04,16,1064,Sunday
2014-05-04 17:00:00,2014-05-04,17,961,Sunday
2014-05-04 18:00:00,2014-05-04,18,870,Sunday
2014-05-04 19:00:00,2014-05-04,19,702,Sunday
2014-05-04 20:00:00,2014-05-04,20,707,Sunday
2014-05-04 21:00:00,2014-05-04,21,705,Sunday
2014-05-04 22:00:00,2014-05-04,22,543,Sunday
2014-05-04 23:00:00,2014-05-04,23,296,Sunday
2014-05-10 00:00:00,2014-05-10,0,788,Saturday
2014-05-10 01:00:00,2014-05-10,1,472,Saturday
2014-05-10 02:00:00,2014-05-10,2,319,Saturday
2014-05-10 03:00:00,2014-05-10,3,242,Saturday
2014-05-10 04:00:00,2014-05-10,4,148,Saturday
2014-05-10 05:00:00,2014-05-10,5,204,Saturday
2014-05-10 06:00:00,2014-05-10,6,230,Saturday
2014-05-10 07:00:00,2014-05-10,7,297,Saturday
2014-05-10 08:00:00,2014-05-10,8,433,Saturday
2014-05-10 09:00:00,2014-05-10,9,543,Saturday
2014-05-10 10:00:00,2014-05-10,10,596,Saturday
2014-05-10 11:00:00,2014-05-10,11,683,Saturday
2014-05-10 12:00:00,2014-05-10,12,780,Saturday
2014-05-10 13:00:00,2014-05-10,13,1009,Saturday
2014-05-10 14:00:00,2014-05-10,14,1074,Saturday
2014-05-10 15:00:00,2014-05-10,15,1615,Saturday
2014-05-10 16:00:00,2014-05-10,16,1939,Saturday
2014-05-10 17:00:00,2014-05-10,17,1890,Saturday
2014-05-10 18:00:00,2014-05-10,18,1838,Saturday
2014-05-10 19:00:00,2014-05-10,19,1365,Saturday
2014-05-10 20:00:00,2014-05-10,20,1137,Saturday
2014-05-10 21:00:00,2014-05-10,21,1322,Saturday
2014-05-10 22:00:00,2014-05-10,22,1738,Saturday
2014-05-10 23:00:00,2014-05-10,23,1888,Saturday
2014-05-11 00:00:00,2014-05-11,0,1212,Sunday
2014-05-11 01:00:00,2014-05-11,1,593,Sunday
2014-05-11 02:00:00,2014-05-11,2,347,Sunday
2014-05-11 03:00:00,2014-05-11,3,241,Sunday
2014-05-11 04:00:00,2014-05-11,4,155,Sunday
2014-05-11 05:00:00,2014-05-11,5,152,Sunday
2014-05-11 06:00:00,2014-05-11,6,187,Sunday
2014-05-11 07:00:00,2014-05-11,7,258,Sunday
2014-05-11 08:00:00,2014-05-11,8,378,Sunday
2014-05-11 09:00:00,2014-05-11,9,547,Sunday
2014-05-11 10:00:00,2014-05-11,10,598,Sunday
2014-05-11 11:00:00,2014-05-11,11,720,Sunday
2014-05-11 12:00:00,2014-05-11,12,758,Sunday
2014-05-11 13:00:00,2014-05-11,13,801,Sunday
2014-05-11 14:00:00,2014-05-11,14,850,Sunday
2014-05-11 15:00:00,2014-05-11,15,1019,Sunday
2014-05-11 16:00:00,2014-05-11,16,1133,Sunday
2014-05-11 17:00:00,2014-05-11,17,1074,Sunday
2014-05-11 18:00:00,2014-05-11,18,876,Sunday
2014-05-11 19:00:00,2014-05-11,19,800,Sunday
2014-05-11 20:00:00,2014-05-11,20,750,Sunday
2014-05-11 21:00:00,2014-05-11,21,715,Sunday
2014-05-11 22:00:00,2014-05-11,22,463,Sunday
2014-05-11 23:00:00,2014-05-11,23,274,Sunday
2014-05-17 00:00:00,2014-05-17,0,774,Saturday
2014-05-17 01:00:00,2014-05-17,1,423,Saturday
2014-05-17 02:00:00,2014-05-17,2,296,Saturday
2014-05-17 03:00:00,2014-05-17,3,239,Saturday
2014-05-17 04:00:00,2014-05-17,4,277,Saturday
2014-05-17 05:00:00,2014-05-17,5,241,Saturday
2014-05-17 06:00:00,2014-05-17,6,269,Saturday
2014-05-17 07:00:00,2014-05-17,7,347,Saturday
2014-05-17 08:00:00,2014-05-17,8,434,Saturday
2014-05-17 09:00:00,2014-05-17,9,545,Saturday
2014-05-17 10:00:00,2014-05-17,10,589,Saturday
2014-05-17 11:00:00,2014-05-17,11,652,Saturday
2014-05-17 12:00:00,2014-05-17,12,748,Saturday
2014-05-17 13:00:00,2014-05-17,13,859,Saturday
2014-05-17 14:00:00,2014-05-17,14,1015,Saturday
2014-05-17 15:00:00,2014-05-17,15,1329,Saturday
2014-05-17 16:00:00,2014-05-17,16,1593,Saturday
2014-05-17 17:00:00,2014-05-17,17,1643,Saturday
2014-05-17 18:00:00,2014-05-17,18,1710,Saturday
2014-05-17 19:00:00,2014-05-17,19,1506,Saturday
2014-05-17 20:00:00,2014-05-17,20,1438,Saturday
2014-05-17 21:00:00,2014-05-17,21,1701,Saturday
2014-05-17 22:00:00,2014-05-17,22,1833,Saturday
2014-05-17 23:00:00,2014-05-17,23,1833,Saturday
2014-05-18 00:00:00,2014-05-18,0,1420,Sunday
2014-05-18 01:00:00,2014-05-18,1,992,Sunday
2014-05-18 02:00:00,2014-05-18,2,564,Sunday
2014-05-18 03:00:00,2014-05-18,3,389,Sunday
2014-05-18 04:00:00,2014-05-18,4,212,Sunday
2014-05-18 05:00:00,2014-05-18,5,176,Sunday
2014-05-18 06:00:00,2014-05-18,6,197,Sunday
2014-05-18 07:00:00,2014-05-18,7,266,Sunday
2014-05-18 08:00:00,2014-05-18,8,400,Sunday
2014-05-18 09:00:00,2014-05-18,9,546,Sunday
2014-05-18 10:00:00,2014-05-18,10,670,Sunday
2014-05-18 11:00:00,2014-05-18,11,774,Sunday
2014-05-18 12:00:00,2014-05-18,12,801,Sunday
2014-05-18 13:00:00,2014-05-18,13,872,Sunday
2014-05-18 14:00:00,2014-05-18,14,984,Sunday
2014-05-18 15:00:00,2014-05-18,15,1024,Sunday
2014-05-18 16:00:00,2014-05-18,16,1173,Sunday
2014-05-18 17:00:00,2014-05-18,17,1043,Sunday
2014-05-18 18:00:00,2014-05-18,18,855,Sunday
2014-05-18 19:00:00,2014-05-18,19,782,Sunday
2014-05-18 20:00:00,2014-05-18,20,775,Sunday
2014-05-18 21:00:00,2014-05-18,21,754,Sunday
2014-05-18 22:00:00,2014-05-18,22,517,Sunday
2014-05-18 23:00:00,2014-05-18,23,322,Sunday
2014-05-24 00:00:00,2014-05-24,0,700,Saturday
2014-05-24 01:00:00,2014-05-24,1,363,Saturday
2014-05-24 02:00:00,2014-05-24,2,249,Saturday
2014-05-24 03:00:00,2014-05-24,3,225,Saturday
2014-05-24 04:00:00,2014-05-24,4,175,Saturday
2014-05-24 05:00:00,2014-05-24,5,211,Saturday
2014-05-24 06:00:00,2014-05-24,6,217,Saturday
2014-05-24 07:00:00,2014-05-24,7,272,Saturday
2014-05-24 08:00:00,2014-05-24,8,373,Saturday
2014-05-24 09:00:00,2014-05-24,9,426,Saturday
2014-05-24 10:00:00,2014-05-24,10,471,Saturday
2014-05-24 11:00:00,2014-05-24,11,528,Saturday
2014-05-24 12:00:00,2014-05-24,12,556,Saturday
2014-05-24 13:00:00,2014-05-24,13,578,Saturday
2014-05-24 14:00:00,2014-05-24,14,628,Saturday
2014-05-24 15:00:00,2014-05-24,15,1120,Saturday
2014-05-24 16:00:00,2014-05-24,16,1674,Saturday
2014-05-24 17:00:00,2014-05-24,17,1154,Saturday
2014-05-24 18:00:00,2014-05-24,18,878,Saturday
2014-05-24 19:00:00,2014-05-24,19,748,Saturday
2014-05-24 20:00:00,2014-05-24,20,730,Saturday
2014-05-24 21:00:00,2014-05-24,21,787,Saturday
2014-05-24 22:00:00,2014-05-24,22,900,Saturday
2014-05-24 23:00:00,2014-05-24,23,688,Saturday
2014-05-25 00:00:00,2014-05-25,0,463,Sunday
2014-05-25 01:00:00,2014-05-25,1,350,Sunday
2014-05-25 02:00:00,2014-05-25,2,236,Sunday
2014-05-25 03:00:00,2014-05-25,3,199,Sunday
2014-05-25 04:00:00,2014-05-25,4,111,Sunday
2014-05-25 05:00:00,2014-05-25,5,114,Sunday
2014-05-25 06:00:00,2014-05-25,6,136,Sunday
2014-05-25 07:00:00,2014-05-25,7,178,Sunday
2014-05-25 08:00:00,2014-05-25,8,235,Sunday
2014-05-25 09:00:00,2014-05-25,9,336,Sunday
2014-05-25 10:00:00,2014-05-25,10,394,Sunday
2014-05-25 11:00:00,2014-05-25,11,478,Sunday
2014-05-25 12:00:00,2014-05-25,12,574,Sunday
2014-05-25 13:00:00,2014-05-25,13,602,Sunday
2014-05-25 14:00:00,2014-05-25,14,553,Sunday
2014-05-25 15:00:00,2014-05-25,15,703,Sunday
2014-05-25 16:00:00,2014-05-25,16,718,Sunday
2014-05-25 17:00:00,2014-05-25,17,696,Sunday
2014-05-25 18:00:00,2014-05-25,18,681,Sunday
2014-05-25 19:00:00,2014-05-25,19,597,Sunday
2014-05-25 20:00:00,2014-05-25,20,550,Sunday
2014-05-25 21:00:00,2014-05-25,21,635,Sunday
2014-05-25 22:00:00,2014-05-25,22,707,Sunday
2014-05-25 23:00:00,2014-05-25,23,595,Sunday
2014-05-31 00:00:00,2014-05-31,0,768,Saturday
2014-05-31 01:00:00,2014-05-31,1,462,Saturday
2014-05-31 02:00:00,2014-05-31,2,331,Saturday
2014-05-31 03:00:00,2014-05-31,3,261,Saturday
2014-05-31 04:00:00,2014-05-31,4,145,Saturday
2014-05-31 05:00:00,2014-05-31,5,173,Saturday
2014-05-31 06:00:00,2014-05-31,6,255,Saturday
2014-05-31 07:00:00,2014-05-31,7,365,Saturday
2014-05-31 08:00:00,2014-05-31,8,497,Saturday
2014-05-31 09:00:00,2014-05-31,9,559,Saturday
2014-05-31 10:00:00,2014-05-31,10,626,Saturday
2014-05-31 11:00:00,2014-05-31,11,713,Saturday
2014-05-31 12:00:00,2014-05-31,12,775,Saturday
2014-05-31 13:00:00,2014-05-31,13,816,Saturday
2014-05-31 14:00:00,2014-05-31,14,1265,Saturday
2014-05-31 15:00:00,2014-05-31,15,1584,Saturday
2014-05-31 16:00:00,2014-05-31,16,1551,Saturday
2014-05-31 17:00:00,2014-05-31,17,1348,Saturday
2014-05-31 18:00:00,2014-05-31,18,1470,Saturday
2014-05-31 19:00:00,2014-05-31,19,1219,Saturday
2014-05-31 20:00:00,2014-05-31,20,1203,Saturday
2014-05-31 21:00:00,2014-05-31,21,1466,Saturday
2014-05-31 22:00:00,2014-05-31,22,1793,Saturday
2014-05-31 23:00:00,2014-05-31,23,1616,Saturday
2014-06-01 00:00:00,2014-06-01,0,1112,Sunday
2014-06-01 01:00:00,2014-06-01,1,685,Sunday
2014-06-01 02:00:00,2014-06-01,2,396,Sunday
2014-06-01 03:00:00,2014-06-01,3,281,Sunday
2014-06-01 04:00:00,2014-06-01,4,155,Sunday
2014-06-01 05:00:00,2014-06-01,5,165,Sunday
2014-06-01 06:00:00,2014-06-01,6,200,Sunday
2014-06-01 07:00:00,2014-06-01,7,265,Sunday
2014-06-01 08:00:00,2014-06-01,8,386,Sunday
2014-06-01 09:00:00,2014-06-01,9,500,Sunday
2014-06-01 10:00:00,2014-06-01,10,638,Sunday
2014-06-01 11:00:00,2014-06-01,11,740,Sunday
2014-06-01 12:00:00,2014-06-01,12,807,Sunday
2014-06-01 13:00:00,2014-06-01,13,913,Sunday
2014-06-01 14:00:00,2014-06-01,14,997,Sunday
2014-06-01 15:00:00,2014-06-01,15,1092,Sunday
2014-06-01 16:00:00,2014-06-01,16,1169,Sunday
2014-06-01 17:00:00,2014-06-01,17,1113,Sunday
