,Date,Hour,Count
2014-04-01 00:00:00,2014-04-01,0,138
2014-04-01 01:00:00,2014-04-01,1,66
2014-04-01 02:00:00,2014-04-01,2,53
2014-04-01 03:00:00,2014-04-01,3,93
2014-04-01 04:00:00,2014-04-01,4,166
2014-04-01 05:00:00,2014-04-01,5,333
2014-04-01 06:00:00,2014-04-01,6,722
2014-04-01 07:00:00,2014-04-01,7,1001
2014-04-01 08:00:00,2014-04-01,8,780
2014-04-01 09:00:00,2014-04-01,9,532
2014-04-01 10:00:00,2014-04-01,10,477
2014-04-01 11:00:00,2014-04-01,11,547
2014-04-01 12:00:00,2014-04-01,12,469
2014-04-01 13:00:00,2014-04-01,13,591
2014-04-01 14:00:00,2014-04-01,14,736
2014-04-01 15:00:00,2014-04-01,15,967
2014-04-01 16:00:00,2014-04-01,16,1152
2014-04-01 17:00:00,2014-04-01,17,1262
2014-04-01 18:00:00,2014-04-01,18,1122
2014-04-01 19:00:00,2014-04-01,19,1018
2014-04-01 20:00:00,2014-04-01,20,597
2014-04-01 21:00:00,2014-04-01,21,878
2014-04-01 22:00:00,2014-04-01,22,529
2014-04-01 23:00:00,2014-04-01,23,317
2014-04-02 00:00:00,2014-04-02,0,161
2014-04-02 01:00:00,2014-04-02,1,82
2014-04-02 02:00:00,2014-04-02,2,59
2014-04-02 03:00:00,2014-04-02,3,80
2014-04-02 04:00:00,2014-04-02,4,196
2014-04-02 05:00:00,2014-04-02,5,344
2014-04-02 06:00:00,2014-04-02,6,785
2014-04-02 07:00:00,2014-04-02,7,1099
2014-04-02 08:00:00,2014-04-02,8,927
2014-04-02 09:00:00,2014-04-02,9,656
2014-04-02 10:00:00,2014-04-02,10,658
2014-04-02 11:00:00,2014-04-02,11,706
2014-04-02 12:00:00,2014-04-02,12,632
2014-04-02 13:00:00,2014-04-02,13,709
2014-04-02 14:00:00,2014-04-02,14,868
2014-04-02 15:00:00,2014-04-02,15,1138
2014-04-02 16:00:00,2014-04-02,16,1313
2014-04-02 17:00:00,2014-04-02,17,1600
2014-04-02 18:00:00,2014-04-02,18,1252
2014-04-02 19:00:00,2014-04-02,19,1086
