,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
0,2523.425046414102,0,0,0,0,0,0
1,2523.262476148029,0,0,0,0,1,0
2,1000000.0,0,0,0,0,2,1
3,2293.561001856903,0,0,0,1,0,0
4,2166.0034710106906,0,0,0,1,1,0
5,1000000.0,0,0,0,1,2,1
6,2520.69643702506,0,0,1,0,0,0
7,2468.9104785578766,0,0,1,0,1,0
8,1000000.0,0,0,1,0,2,1
9,2085.0259328275224,0,0,1,1,0,0
10,2086.8494454927604,0,0,1,1,1,0
11,1000000.0,0,0,1,1,2,1
12,2390.8351062196643,0,0,2,0,0,0
13,2392.0976198104727,0,0,2,0,1,0
14,1000000.0,0,0,2,0,2,1
15,2086.991170044049,0,0,2,1,0,0
16,2081.175846975881,0,0,2,1,1,0
17,1000000.0,0,0,2,1,2,1
18,2483.7374344028385,0,1,0,0,0,0
19,2483.1591933405193,0,1,0,0,1,0
20,1000000.0,0,1,0,0,2,1
21,2262.730684757402,0,1,0,1,0,0
22,2138.8255374264736,0,1,0,1,1,0
23,1000000.0,0,1,0,1,2,1
24,2480.4402070428514,0,1,1,0,0,0
25,2435.8449997738926,0,1,1,0,1,0
26,1000000.0,0,1,1,0,2,1
27,2073.9392895263536,0,1,1,1,0,0
28,2073.782718795786,0,1,1,1,1,0
29,1000000.0,0,1,1,1,2,1
30,2373.481977093377,0,1,2,0,0,0
31,2374.7890949692674,0,1,2,0,1,0
32,1000000.0,0,1,2,0,2,1
33,2075.3729606145052,0,1,2,1,0,0
34,10.0,0,1,2,1,1,0
35,1000000.0,0,1,2,1,2,1
36,2485.7172332766386,0,2,0,0,0,0
37,2485.158138485599,0,2,0,0,1,0
38,1000000.0,0,2,0,0,2,1
39,2264.7280112513454,0,2,0,1,0,0
40,2140.824498328394,0,2,0,1,1,0
41,1000000.0,0,2,0,1,2,1
42,2482.434643487336,0,2,1,0,0,0
43,2437.8460900944974,0,2,1,0,1,0
44,1000000.0,0,2,1,0,2,1
45,2075.3755005104135,0,2,1,1,0,0
46,2075.398337917969,0,2,1,1,1,0
47,1000000.0,0,2,1,1,2,1
48,2375.2563614911405,0,2,2,0,0,0
49,2376.582162327599,0,2,2,0,1,0
50,1000000.0,0,2,2,0,2,1
51,2076.852491172555,0,2,2,1,0,0
52,2073.6648710325226,0,2,2,1,1,0
53,1000000.0,0,2,2,1,2,1
54,2486.531108547525,0,3,0,0,0,0
