,aic,ar,ma,seasonal_ar,integration,seasonal_ma,warning
0,7350.358963765154,0,0,0,0,0,0
1,7263.2898770805605,0,0,0,0,1,0
2,6804.6473364620815,0,0,0,1,0,0
3,6549.0361126345815,0,0,0,1,1,0
4,7336.724963730866,0,0,1,0,0,0
5,7249.226080285987,0,0,1,0,1,0
6,6736.688420098524,0,0,1,1,0,0
7,6550.6862934740875,0,0,1,1,1,0
8,6990.6613854006555,0,1,0,0,0,0
9,6849.2861268917495,0,1,0,0,1,0
10,6806.625206971633,0,1,0,1,0,0
11,6547.8667832453975,0,1,0,1,1,0
12,6957.491924508114,0,1,1,0,0,0
13,6845.891244352315,0,1,1,0,1,0
14,6737.817943911152,0,1,1,1,0,0
15,6549.774979870587,0,1,1,1,1,0
16,6856.636800729859,0,2,0,0,0,0
17,6673.270276057784,0,2,0,0,1,0
18,6781.78016524112,0,2,0,1,0,0
19,6535.493896043664,0,2,0,1,1,0
20,6804.86337121834,0,2,1,0,0,0
21,6670.347451688549,0,2,1,0,1,0
22,6714.532476615761,0,2,1,1,0,0
23,6537.18705350654,0,2,1,1,1,0
24,6829.676359496818,0,3,0,0,0,0
25,6620.9636913803115,0,3,0,0,1,0
26,6770.523822000781,0,3,0,1,0,0
27,6523.343087989878,0,3,0,1,1,0
28,6772.703637054185,0,3,1,0,0,0
29,6622.125159018178,0,3,1,0,1,0
30,6701.5579884826175,0,3,1,1,0,0
31,6525.103646560783,0,3,1,1,1,0
32,6816.991880748246,0,4,0,0,0,0
33,6602.2319912814455,0,4,0,0,1,0
34,6772.3813493709185,0,4,0,1,0,0
35,6524.622712223884,0,4,0,1,1,0
36,6761.112161685401,0,4,1,0,0,0
37,6603.393730561301,0,4,1,0,1,0
38,6703.46673277719,0,4,1,1,0,0
39,6526.416230133851,0,4,1,1,1,0
40,6779.128092121529,0,5,0,0,0,0
41,6553.610403587369,0,5,0,0,1,0
42,6774.311115817599,0,5,0,1,0,0
43,6526.337824393546,0,5,0,1,1,0
44,6712.727074537746,0,5,1,0,0,0
45,6555.077094636653,0,5,1,0,1,0
46,6705.460587315504,0,5,1,1,0,0
47,1000000.0,0,5,1,1,1,1
48,6779.438790188209,0,6,0,0,0,0
49,6548.833422182923,0,6,0,0,1,0
50,6761.542384583339,0,6,0,1,0,0
51,1000000.0,0,6,0,1,1,1
