,Date,Hour,Count,Weekday,diff_Count1,diff_Count24+1,diff_Count24
2014-04-05 00:00:00,2014-04-05,0,723,Saturday,,,
2014-04-05 01:00:00,2014-04-05,1,416,Saturday,-307.0,,
2014-04-05 02:00:00,2014-04-05,2,215,Saturday,-201.0,,
2014-04-05 03:00:00,2014-04-05,3,181,Saturday,-34.0,,
2014-04-05 04:00:00,2014-04-05,4,153,Saturday,-28.0,,
2014-04-05 05:00:00,2014-04-05,5,177,Saturday,24.0,,
2014-04-05 06:00:00,2014-04-05,6,206,Saturday,29.0,,
2014-04-05 07:00:00,2014-04-05,7,279,Saturday,73.0,,
2014-04-05 08:00:00,2014-04-05,8,340,Saturday,61.0,,
2014-04-05 09:00:00,2014-04-05,9,450,Saturday,110.0,,
2014-04-05 10:00:00,2014-04-05,10,530,Saturday,80.0,,
2014-04-05 11:00:00,2014-04-05,11,542,Saturday,12.0,,
2014-04-05 12:00:00,2014-04-05,12,657,Saturday,115.0,,
2014-04-05 13:00:00,2014-04-05,13,647,Saturday,-10.0,,
2014-04-05 14:00:00,2014-04-05,14,704,Saturday,57.0,,
2014-04-05 15:00:00,2014-04-05,15,1078,Saturday,374.0,,
2014-04-05 16:00:00,2014-04-05,16,1313,Saturday,235.0,,
2014-04-05 17:00:00,2014-04-05,17,1445,Saturday,132.0,,
2014-04-05 18:00:00,2014-04-05,18,1575,Saturday,130.0,,
2014-04-05 19:00:00,2014-04-05,19,1440,Saturday,-135.0,,
2014-04-05 20:00:00,2014-04-05,20,1348,Saturday,-92.0,,
2014-04-05 21:00:00,2014-04-05,21,1572,Saturday,224.0,,
2014-04-05 22:00:00,2014-04-05,22,1830,Saturday,258.0,,
2014-04-05 23:00:00,2014-04-05,23,1700,Saturday,-130.0,,
2014-04-06 00:00:00,2014-04-06,0,1485,Sunday,-215.0,,762.0
2014-04-06 01:00:00,2014-04-06,1,940,Sunday,-545.0,-238.0,524.0
2014-04-06 02:00:00,2014-04-06,2,501,Sunday,-439.0,-238.0,286.0
2014-04-06 03:00:00,2014-04-06,3,315,Sunday,-186.0,-152.0,134.0
2014-04-06 04:00:00,2014-04-06,4,201,Sunday,-114.0,-86.0,48.0
2014-04-06 05:00:00,2014-04-06,5,177,Sunday,-24.0,-48.0,0.0
2014-04-06 06:00:00,2014-04-06,6,174,Sunday,-3.0,-32.0,-32.0
2014-04-06 07:00:00,2014-04-06,7,226,Sunday,52.0,-21.0,-53.0
2014-04-06 08:00:00,2014-04-06,8,313,Sunday,87.0,26.0,-27.0
2014-04-06 09:00:00,2014-04-06,9,441,Sunday,128.0,18.0,-9.0
2014-04-06 10:00:00,2014-04-06,10,547,Sunday,106.0,26.0,17.0
2014-04-06 11:00:00,2014-04-06,11,563,Sunday,16.0,4.0,21.0
2014-04-06 12:00:00,2014-04-06,12,594,Sunday,31.0,-84.0,-63.0
2014-04-06 13:00:00,2014-04-06,13,677,Sunday,83.0,93.0,30.0
2014-04-06 14:00:00,2014-04-06,14,698,Sunday,21.0,-36.0,-6.0
2014-04-06 15:00:00,2014-04-06,15,847,Sunday,149.0,-225.0,-231.0
2014-04-06 16:00:00,2014-04-06,16,806,Sunday,-41.0,-276.0,-507.0
2014-04-06 17:00:00,2014-04-06,17,799,Sunday,-7.0,-139.0,-646.0
2014-04-06 18:00:00,2014-04-06,18,767,Sunday,-32.0,-162.0,-808.0
2014-04-06 19:00:00,2014-04-06,19,641,Sunday,-126.0,9.0,-799.0
2014-04-06 20:00:00,2014-04-06,20,516,Sunday,-125.0,-33.0,-832.0
2014-04-06 21:00:00,2014-04-06,21,571,Sunday,55.0,-169.0,-1001.0
2014-04-06 22:00:00,2014-04-06,22,390,Sunday,-181.0,-439.0,-1440.0
2014-04-06 23:00:00,2014-04-06,23,256,Sunday,-134.0,-4.0,-1444.0
2014-04-12 00:00:00,2014-04-12,0,666,Saturday,410.0,625.0,-819.0
2014-04-12 01:00:00,2014-04-12,1,458,Saturday,-208.0,337.0,-482.0
2014-04-12 02:00:00,2014-04-12,2,272,Saturday,-186.0,253.0,-229.0
2014-04-12 03:00:00,2014-04-12,3,178,Saturday,-94.0,92.0,-137.0
2014-04-12 04:00:00,2014-04-12,4,159,Saturday,-19.0,95.0,-42.0
2014-04-12 05:00:00,2014-04-12,5,170,Saturday,11.0,35.0,-7.0
