,Date,Hour,Count,Weekday,diff_Count1,diff_Count24+1,diff_Count24
2014-04-01 00:00:00,2014-04-01,0,138,Tuesday,,,
2014-04-01 01:00:00,2014-04-01,1,66,Tuesday,-72.0,,
2014-04-01 02:00:00,2014-04-01,2,53,Tuesday,-13.0,,
2014-04-01 03:00:00,2014-04-01,3,93,Tuesday,40.0,,
2014-04-01 04:00:00,2014-04-01,4,166,Tuesday,73.0,,
2014-04-01 05:00:00,2014-04-01,5,333,Tuesday,167.0,,
2014-04-01 06:00:00,2014-04-01,6,722,Tuesday,389.0,,
2014-04-01 07:00:00,2014-04-01,7,1001,Tuesday,279.0,,
2014-04-01 08:00:00,2014-04-01,8,780,Tuesday,-221.0,,
2014-04-01 09:00:00,2014-04-01,9,532,Tuesday,-248.0,,
2014-04-01 10:00:00,2014-04-01,10,477,Tuesday,-55.0,,
2014-04-01 11:00:00,2014-04-01,11,547,Tuesday,70.0,,
2014-04-01 12:00:00,2014-04-01,12,469,Tuesday,-78.0,,
2014-04-01 13:00:00,2014-04-01,13,591,Tuesday,122.0,,
2014-04-01 14:00:00,2014-04-01,14,736,Tuesday,145.0,,
2014-04-01 15:00:00,2014-04-01,15,967,Tuesday,231.0,,
2014-04-01 16:00:00,2014-04-01,16,1152,Tuesday,185.0,,
2014-04-01 17:00:00,2014-04-01,17,1262,Tuesday,110.0,,
2014-04-01 18:00:00,2014-04-01,18,1122,Tuesday,-140.0,,
2014-04-01 19:00:00,2014-04-01,19,1018,Tuesday,-104.0,,
2014-04-01 20:00:00,2014-04-01,20,597,Tuesday,-421.0,,
2014-04-01 21:00:00,2014-04-01,21,878,Tuesday,281.0,,
2014-04-01 22:00:00,2014-04-01,22,529,Tuesday,-349.0,,
2014-04-01 23:00:00,2014-04-01,23,317,Tuesday,-212.0,,
2014-04-02 00:00:00,2014-04-02,0,161,Wednesday,-156.0,,23.0
2014-04-02 01:00:00,2014-04-02,1,82,Wednesday,-79.0,-7.0,16.0
2014-04-02 02:00:00,2014-04-02,2,59,Wednesday,-23.0,-10.0,6.0
2014-04-02 03:00:00,2014-04-02,3,80,Wednesday,21.0,-19.0,-13.0
2014-04-02 04:00:00,2014-04-02,4,196,Wednesday,116.0,43.0,30.0
2014-04-02 05:00:00,2014-04-02,5,344,Wednesday,148.0,-19.0,11.0
2014-04-02 06:00:00,2014-04-02,6,785,Wednesday,441.0,52.0,63.0
2014-04-02 07:00:00,2014-04-02,7,1099,Wednesday,314.0,35.0,98.0
2014-04-02 08:00:00,2014-04-02,8,927,Wednesday,-172.0,49.0,147.0
2014-04-02 09:00:00,2014-04-02,9,656,Wednesday,-271.0,-23.0,124.0
2014-04-02 10:00:00,2014-04-02,10,658,Wednesday,2.0,57.0,181.0
2014-04-02 11:00:00,2014-04-02,11,706,Wednesday,48.0,-22.0,159.0
2014-04-02 12:00:00,2014-04-02,12,632,Wednesday,-74.0,4.0,163.0
2014-04-02 13:00:00,2014-04-02,13,709,Wednesday,77.0,-45.0,118.0
2014-04-02 14:00:00,2014-04-02,14,868,Wednesday,159.0,14.0,132.0
2014-04-02 15:00:00,2014-04-02,15,1138,Wednesday,270.0,39.0,171.0
2014-04-02 16:00:00,2014-04-02,16,1313,Wednesday,175.0,-10.0,161.0
2014-04-02 17:00:00,2014-04-02,17,1600,Wednesday,287.0,177.0,338.0
2014-04-02 18:00:00,2014-04-02,18,1252,Wednesday,-348.0,-208.0,130.0
2014-04-02 19:00:00,2014-04-02,19,1086,Wednesday,-166.0,-62.0,68.0
2014-04-02 20:00:00,2014-04-02,20,1143,Wednesday,57.0,478.0,546.0
2014-04-02 21:00:00,2014-04-02,21,994,Wednesday,-149.0,-430.0,116.0
2014-04-02 22:00:00,2014-04-02,22,638,Wednesday,-356.0,-7.0,109.0
2014-04-02 23:00:00,2014-04-02,23,348,Wednesday,-290.0,-78.0,31.0
2014-04-03 00:00:00,2014-04-03,0,194,Thursday,-154.0,2.0,33.0
2014-04-03 01:00:00,2014-04-03,1,106,Thursday,-88.0,-9.0,24.0
2014-04-03 02:00:00,2014-04-03,2,66,Thursday,-40.0,-17.0,7.0
2014-04-03 03:00:00,2014-04-03,3,130,Thursday,64.0,43.0,50.0
2014-04-03 04:00:00,2014-04-03,4,193,Thursday,63.0,-53.0,-3.0
