,Date,Hour,Count,Weekday
2014-05-03 00:00:00,2014-05-03,0,848,Saturday
2014-05-03 01:00:00,2014-05-03,1,529,Saturday
2014-05-03 02:00:00,2014-05-03,2,329,Saturday
2014-05-03 03:00:00,2014-05-03,3,238,Saturday
2014-05-03 04:00:00,2014-05-03,4,213,Saturday
2014-05-03 05:00:00,2014-05-03,5,198,Saturday
2014-05-03 06:00:00,2014-05-03,6,232,Saturday
2014-05-03 07:00:00,2014-05-03,7,307,Saturday
2014-05-03 08:00:00,2014-05-03,8,407,Saturday
2014-05-03 09:00:00,2014-05-03,9,506,Saturday
2014-05-03 10:00:00,2014-05-03,10,580,Saturday
2014-05-03 11:00:00,2014-05-03,11,672,Saturday
2014-05-03 12:00:00,2014-05-03,12,708,Saturday
2014-05-03 13:00:00,2014-05-03,13,826,Saturday
2014-05-03 14:00:00,2014-05-03,14,968,Saturday
2014-05-03 15:00:00,2014-05-03,15,1456,Saturday
2014-05-03 16:00:00,2014-05-03,16,1715,Saturday
2014-05-03 17:00:00,2014-05-03,17,1483,Saturday
2014-05-03 18:00:00,2014-05-03,18,2249,Saturday
2014-05-03 19:00:00,2014-05-03,19,1581,Saturday
2014-05-03 20:00:00,2014-05-03,20,1410,Saturday
2014-05-03 21:00:00,2014-05-03,21,1751,Saturday
2014-05-03 22:00:00,2014-05-03,22,1637,Saturday
2014-05-03 23:00:00,2014-05-03,23,1391,Saturday
2014-05-04 00:00:00,2014-05-04,0,1152,Sunday
2014-05-04 01:00:00,2014-05-04,1,641,Sunday
2014-05-04 02:00:00,2014-05-04,2,418,Sunday
2014-05-04 03:00:00,2014-05-04,3,315,Sunday
2014-05-04 04:00:00,2014-05-04,4,245,Sunday
2014-05-04 05:00:00,2014-05-04,5,178,Sunday
2014-05-04 06:00:00,2014-05-04,6,163,Sunday
2014-05-04 07:00:00,2014-05-04,7,209,Sunday
2014-05-04 08:00:00,2014-05-04,8,239,Sunday
2014-05-04 09:00:00,2014-05-04,9,330,Sunday
2014-05-04 10:00:00,2014-05-04,10,412,Sunday
2014-05-04 11:00:00,2014-05-04,11,537,Sunday
2014-05-04 12:00:00,2014-05-04,12,621,Sunday
2014-05-04 13:00:00,2014-05-04,13,730,Sunday
2014-05-04 14:00:00,2014-05-04,14,851,Sunday
2014-05-04 15:00:00,2014-05-04,15,1029,Sunday
2014-05-04 16:00:00,2014-05-04,16,1064,Sunday
2014-05-04 17:00:00,2014-05-04,17,961,Sunday
2014-05-04 18:00:00,2014-05-04,18,870,Sunday
2014-05-04 19:00:00,2014-05-04,19,702,Sunday
2014-05-04 20:00:00,2014-05-04,20,707,Sunday
2014-05-04 21:00:00,2014-05-04,21,705,Sunday
2014-05-04 22:00:00,2014-05-04,22,543,Sunday
2014-05-04 23:00:00,2014-05-04,23,296,Sunday
2014-05-10 00:00:00,2014-05-10,0,788,Saturday
2014-05-10 01:00:00,2014-05-10,1,472,Saturday
2014-05-10 02:00:00,2014-05-10,2,319,Saturday
2014-05-10 03:00:00,2014-05-10,3,242,Saturday
2014-05-10 04:00:00,2014-05-10,4,148,Saturday
2014-05-10 05:00:00,2014-05-10,5,204,Saturday
2014-05-10 06:00:00,2014-05-10,6,230,Saturday
2014-05-10 07:00:00,2014-05-10,7,297,Saturday
2014-05-10 08:00:00,2014-05-10,8,433,Saturday
2014-05-10 09:00:00,2014-05-10,9,543,Saturday
2014-05-10 10:00:00,2014-05-10,10,596,Saturday
2014-05-10 11:00:00,2014-05-10,11,683,Saturday
2014-05-10 12:00:00,2014-05-10,12,780,Saturday
2014-05-10 13:00:00,2014-05-10,13,1009,Saturday
2014-05-10 14:00:00,2014-05-10,14,1074,Saturday
2014-05-10 15:00:00,2014-05-10,15,1615,Saturday
2014-05-10 16:00:00,2014-05-10,16,1939,Saturday
2014-05-10 17:00:00,2014-05-10,17,1890,Saturday
2014-05-10 18:00:00,2014-05-10,18,1838,Saturday
2014-05-10 19:00:00,2014-05-10,19,1365,Saturday
2014-05-10 20:00:00,2014-05-10,20,1137,Saturday
2014-05-10 21:00:00,2014-05-10,21,1322,Saturday
2014-05-10 22:00:00,2014-05-10,22,1738,Saturday
2014-05-10 23:00:00,2014-05-10,23,1888,Saturday
