,Date,Hour,Count,Weekday
2014-05-01 00:00:00,2014-05-01,0,348,Thursday
2014-05-01 01:00:00,2014-05-01,1,179,Thursday
2014-05-01 02:00:00,2014-05-01,2,101,Thursday
2014-05-01 03:00:00,2014-05-01,3,172,Thursday
2014-05-01 04:00:00,2014-05-01,4,241,Thursday
2014-05-01 05:00:00,2014-05-01,5,438,Thursday
2014-05-01 06:00:00,2014-05-01,6,822,Thursday
2014-05-01 07:00:00,2014-05-01,7,1274,Thursday
2014-05-01 08:00:00,2014-05-01,8,1237,Thursday
2014-05-01 09:00:00,2014-05-01,9,853,Thursday
2014-05-01 10:00:00,2014-05-01,10,771,Thursday
2014-05-01 11:00:00,2014-05-01,11,662,Thursday
2014-05-01 12:00:00,2014-05-01,12,716,Thursday
2014-05-01 13:00:00,2014-05-01,13,820,Thursday
2014-05-01 14:00:00,2014-05-01,14,1060,Thursday
2014-05-01 15:00:00,2014-05-01,15,1348,Thursday
2014-05-01 16:00:00,2014-05-01,16,1584,Thursday
2014-05-01 17:00:00,2014-05-01,17,1845,Thursday
2014-05-01 18:00:00,2014-05-01,18,1710,Thursday
2014-05-01 19:00:00,2014-05-01,19,1584,Thursday
2014-05-01 20:00:00,2014-05-01,20,1546,Thursday
2014-05-01 21:00:00,2014-05-01,21,1880,Thursday
2014-05-01 22:00:00,2014-05-01,22,1403,Thursday
2014-05-01 23:00:00,2014-05-01,23,781,Thursday
2014-05-02 00:00:00,2014-05-02,0,357,Friday
2014-05-02 01:00:00,2014-05-02,1,199,Friday
2014-05-02 02:00:00,2014-05-02,2,139,Friday
2014-05-02 03:00:00,2014-05-02,3,183,Friday
2014-05-02 04:00:00,2014-05-02,4,215,Friday
2014-05-02 05:00:00,2014-05-02,5,359,Friday
2014-05-02 06:00:00,2014-05-02,6,806,Friday
2014-05-02 07:00:00,2014-05-02,7,990,Friday
2014-05-02 08:00:00,2014-05-02,8,912,Friday
2014-05-02 09:00:00,2014-05-02,9,657,Friday
2014-05-02 10:00:00,2014-05-02,10,727,Friday
2014-05-02 11:00:00,2014-05-02,11,756,Friday
2014-05-02 12:00:00,2014-05-02,12,790,Friday
2014-05-02 13:00:00,2014-05-02,13,918,Friday
2014-05-02 14:00:00,2014-05-02,14,1169,Friday
2014-05-02 15:00:00,2014-05-02,15,1469,Friday
2014-05-02 16:00:00,2014-05-02,16,1711,Friday
2014-05-02 17:00:00,2014-05-02,17,1877,Friday
2014-05-02 18:00:00,2014-05-02,18,2141,Friday
2014-05-02 19:00:00,2014-05-02,19,1633,Friday
