,Date,Hour,Count
2014-05-01 00:00:00,2014-05-01,0,348
2014-05-01 01:00:00,2014-05-01,1,179
2014-05-01 02:00:00,2014-05-01,2,101
2014-05-01 03:00:00,2014-05-01,3,172
2014-05-01 04:00:00,2014-05-01,4,241
2014-05-01 05:00:00,2014-05-01,5,438
2014-05-01 06:00:00,2014-05-01,6,822
2014-05-01 07:00:00,2014-05-01,7,1274
2014-05-01 08:00:00,2014-05-01,8,1237
2014-05-01 09:00:00,2014-05-01,9,853
2014-05-01 10:00:00,2014-05-01,10,771
2014-05-01 11:00:00,2014-05-01,11,662
2014-05-01 12:00:00,2014-05-01,12,716
2014-05-01 13:00:00,2014-05-01,13,820
2014-05-01 14:00:00,2014-05-01,14,1060
2014-05-01 15:00:00,2014-05-01,15,1348
2014-05-01 16:00:00,2014-05-01,16,1584
2014-05-01 17:00:00,2014-05-01,17,1845
2014-05-01 18:00:00,2014-05-01,18,1710
2014-05-01 19:00:00,2014-05-01,19,1584
2014-05-01 20:00:00,2014-05-01,20,1546
2014-05-01 21:00:00,2014-05-01,21,1880
2014-05-01 22:00:00,2014-05-01,22,1403
2014-05-01 23:00:00,2014-05-01,23,781
2014-05-02 00:00:00,2014-05-02,0,357
2014-05-02 01:00:00,2014-05-02,1,199
2014-05-02 02:00:00,2014-05-02,2,139
2014-05-02 03:00:00,2014-05-02,3,183
2014-05-02 04:00:00,2014-05-02,4,215
2014-05-02 05:00:00,2014-05-02,5,359
2014-05-02 06:00:00,2014-05-02,6,806
2014-05-02 07:00:00,2014-05-02,7,990
2014-05-02 08:00:00,2014-05-02,8,912
2014-05-02 09:00:00,2014-05-02,9,657
2014-05-02 10:00:00,2014-05-02,10,727
2014-05-02 11:00:00,2014-05-02,11,756
2014-05-02 12:00:00,2014-05-02,12,790
2014-05-02 13:00:00,2014-05-02,13,918
2014-05-02 14:00:00,2014-05-02,14,1169
2014-05-02 15:00:00,2014-05-02,15,1469
2014-05-02 16:00:00,2014-05-02,16,1711
2014-05-02 17:00:00,2014-05-02,17,1877
2014-05-02 18:00:00,2014-05-02,18,2141
2014-05-02 19:00:00,2014-05-02,19,1633
2014-05-02 20:00:00,2014-05-02,20,1451
2014-05-02 21:00:00,2014-05-02,21,1617
2014-05-02 22:00:00,2014-05-02,22,1676
2014-05-02 23:00:00,2014-05-02,23,1483
2014-05-03 00:00:00,2014-05-03,0,848
2014-05-03 01:00:00,2014-05-03,1,529
2014-05-03 02:00:00,2014-05-03,2,329
2014-05-03 03:00:00,2014-05-03,3,238
2014-05-03 04:00:00,2014-05-03,4,213
2014-05-03 05:00:00,2014-05-03,5,198
2014-05-03 06:00:00,2014-05-03,6,232
2014-05-03 07:00:00,2014-05-03,7,307
2014-05-03 08:00:00,2014-05-03,8,407
2014-05-03 09:00:00,2014-05-03,9,506
2014-05-03 10:00:00,2014-05-03,10,580
2014-05-03 11:00:00,2014-05-03,11,672
2014-05-03 12:00:00,2014-05-03,12,708
2014-05-03 13:00:00,2014-05-03,13,826
2014-05-03 14:00:00,2014-05-03,14,968
2014-05-03 15:00:00,2014-05-03,15,1456
2014-05-03 16:00:00,2014-05-03,16,1715
2014-05-03 17:00:00,2014-05-03,17,1483
2014-05-03 18:00:00,2014-05-03,18,2249
2014-05-03 19:00:00,2014-05-03,19,1581
2014-05-03 20:00:00,2014-05-03,20,1410
2014-05-03 21:00:00,2014-05-03,21,1751
2014-05-03 22:00:00,2014-05-03,22,1637
2014-05-03 23:00:00,2014-05-03,23,1391
2014-05-04 00:00:00,2014-05-04,0,1152
2014-05-04 01:00:00,2014-05-04,1,641
2014-05-04 02:00:00,2014-05-04,2,418
2014-05-04 03:00:00,2014-05-04,3,315
2014-05-04 04:00:00,2014-05-04,4,245
2014-05-04 05:00:00,2014-05-04,5,178
2014-05-04 06:00:00,2014-05-04,6,163
2014-05-04 07:00:00,2014-05-04,7,209
2014-05-04 08:00:00,2014-05-04,8,239
2014-05-04 09:00:00,2014-05-04,9,330
2014-05-04 10:00:00,2014-05-04,10,412
2014-05-04 11:00:00,2014-05-04,11,537
2014-05-04 12:00:00,2014-05-04,12,621
2014-05-04 13:00:00,2014-05-04,13,730
2014-05-04 14:00:00,2014-05-04,14,851
2014-05-04 15:00:00,2014-05-04,15,1029
2014-05-04 16:00:00,2014-05-04,16,1064
2014-05-04 17:00:00,2014-05-04,17,961
2014-05-04 18:00:00,2014-05-04,18,870
2014-05-04 19:00:00,2014-05-04,19,702
2014-05-04 20:00:00,2014-05-04,20,707
2014-05-04 21:00:00,2014-05-04,21,705
2014-05-04 22:00:00,2014-05-04,22,543
2014-05-04 23:00:00,2014-05-04,23,296
2014-05-05 00:00:00,2014-05-05,0,139
2014-05-05 01:00:00,2014-05-05,1,72
2014-05-05 02:00:00,2014-05-05,2,52
2014-05-05 03:00:00,2014-05-05,3,175
2014-05-05 04:00:00,2014-05-05,4,264
2014-05-05 05:00:00,2014-05-05,5,477
2014-05-05 06:00:00,2014-05-05,6,832
2014-05-05 07:00:00,2014-05-05,7,1014
2014-05-05 08:00:00,2014-05-05,8,959
2014-05-05 09:00:00,2014-05-05,9,633
2014-05-05 10:00:00,2014-05-05,10,599
2014-05-05 11:00:00,2014-05-05,11,590
2014-05-05 12:00:00,2014-05-05,12,623
2014-05-05 13:00:00,2014-05-05,13,722
2014-05-05 14:00:00,2014-05-05,14,981
2014-05-05 15:00:00,2014-05-05,15,1210
2014-05-05 16:00:00,2014-05-05,16,1430
2014-05-05 17:00:00,2014-05-05,17,1597
2014-05-05 18:00:00,2014-05-05,18,1222
2014-05-05 19:00:00,2014-05-05,19,1067
2014-05-05 20:00:00,2014-05-05,20,1076
2014-05-05 21:00:00,2014-05-05,21,1018
2014-05-05 22:00:00,2014-05-05,22,706
2014-05-05 23:00:00,2014-05-05,23,401
2014-05-06 00:00:00,2014-05-06,0,203
2014-05-06 01:00:00,2014-05-06,1,130
2014-05-06 02:00:00,2014-05-06,2,97
2014-05-06 03:00:00,2014-05-06,3,112
2014-05-06 04:00:00,2014-05-06,4,205
2014-05-06 05:00:00,2014-05-06,5,406
2014-05-06 06:00:00,2014-05-06,6,839
2014-05-06 07:00:00,2014-05-06,7,1065
2014-05-06 08:00:00,2014-05-06,8,958
2014-05-06 09:00:00,2014-05-06,9,640
2014-05-06 10:00:00,2014-05-06,10,645
2014-05-06 11:00:00,2014-05-06,11,603
2014-05-06 12:00:00,2014-05-06,12,702
2014-05-06 13:00:00,2014-05-06,13,757
2014-05-06 14:00:00,2014-05-06,14,1016
2014-05-06 15:00:00,2014-05-06,15,1347
2014-05-06 16:00:00,2014-05-06,16,1605
2014-05-06 17:00:00,2014-05-06,17,1746
2014-05-06 18:00:00,2014-05-06,18,1307
2014-05-06 19:00:00,2014-05-06,19,1188
2014-05-06 20:00:00,2014-05-06,20,1291
2014-05-06 21:00:00,2014-05-06,21,1224
2014-05-06 22:00:00,2014-05-06,22,756
2014-05-06 23:00:00,2014-05-06,23,458
2014-05-07 00:00:00,2014-05-07,0,201
2014-05-07 01:00:00,2014-05-07,1,109
2014-05-07 02:00:00,2014-05-07,2,71
2014-05-07 03:00:00,2014-05-07,3,137
2014-05-07 04:00:00,2014-05-07,4,205
2014-05-07 05:00:00,2014-05-07,5,341
2014-05-07 06:00:00,2014-05-07,6,888
2014-05-07 07:00:00,2014-05-07,7,1151
2014-05-07 08:00:00,2014-05-07,8,971
2014-05-07 09:00:00,2014-05-07,9,695
2014-05-07 10:00:00,2014-05-07,10,733
2014-05-07 11:00:00,2014-05-07,11,689
2014-05-07 12:00:00,2014-05-07,12,726
2014-05-07 13:00:00,2014-05-07,13,971
2014-05-07 14:00:00,2014-05-07,14,1186
2014-05-07 15:00:00,2014-05-07,15,1494
2014-05-07 16:00:00,2014-05-07,16,1843
2014-05-07 17:00:00,2014-05-07,17,1878
2014-05-07 18:00:00,2014-05-07,18,1683
2014-05-07 19:00:00,2014-05-07,19,1413
2014-05-07 20:00:00,2014-05-07,20,1482
2014-05-07 21:00:00,2014-05-07,21,1474
2014-05-07 22:00:00,2014-05-07,22,1010
2014-05-07 23:00:00,2014-05-07,23,540
2014-05-08 00:00:00,2014-05-08,0,275
2014-05-08 01:00:00,2014-05-08,1,174
2014-05-08 02:00:00,2014-05-08,2,128
2014-05-08 03:00:00,2014-05-08,3,162
2014-05-08 04:00:00,2014-05-08,4,286
2014-05-08 05:00:00,2014-05-08,5,597
2014-05-08 06:00:00,2014-05-08,6,1285
2014-05-08 07:00:00,2014-05-08,7,1627
2014-05-08 08:00:00,2014-05-08,8,1672
2014-05-08 09:00:00,2014-05-08,9,1291
2014-05-08 10:00:00,2014-05-08,10,1018
2014-05-08 11:00:00,2014-05-08,11,951
2014-05-08 12:00:00,2014-05-08,12,902
2014-05-08 13:00:00,2014-05-08,13,1172
2014-05-08 14:00:00,2014-05-08,14,1316
2014-05-08 15:00:00,2014-05-08,15,1675
2014-05-08 16:00:00,2014-05-08,16,1894
2014-05-08 17:00:00,2014-05-08,17,2138
2014-05-08 18:00:00,2014-05-08,18,1862
2014-05-08 19:00:00,2014-05-08,19,1707
2014-05-08 20:00:00,2014-05-08,20,1650
2014-05-08 21:00:00,2014-05-08,21,1701
2014-05-08 22:00:00,2014-05-08,22,1328
2014-05-08 23:00:00,2014-05-08,23,702
2014-05-09 00:00:00,2014-05-09,0,396
2014-05-09 01:00:00,2014-05-09,1,273
2014-05-09 02:00:00,2014-05-09,2,176
2014-05-09 03:00:00,2014-05-09,3,196
2014-05-09 04:00:00,2014-05-09,4,257
2014-05-09 05:00:00,2014-05-09,5,405
2014-05-09 06:00:00,2014-05-09,6,912
2014-05-09 07:00:00,2014-05-09,7,1234
2014-05-09 08:00:00,2014-05-09,8,1142
2014-05-09 09:00:00,2014-05-09,9,836
2014-05-09 10:00:00,2014-05-09,10,807
2014-05-09 11:00:00,2014-05-09,11,877
2014-05-09 12:00:00,2014-05-09,12,869
2014-05-09 13:00:00,2014-05-09,13,1019
2014-05-09 14:00:00,2014-05-09,14,1409
2014-05-09 15:00:00,2014-05-09,15,1661
2014-05-09 16:00:00,2014-05-09,16,2007
2014-05-09 17:00:00,2014-05-09,17,2384
2014-05-09 18:00:00,2014-05-09,18,2424
2014-05-09 19:00:00,2014-05-09,19,1683
2014-05-09 20:00:00,2014-05-09,20,1298
2014-05-09 21:00:00,2014-05-09,21,1347
