,Date,Hour,Count_0,Weekday,Month,IsWeekend,Count_4,Count_1,Count_5,Count_3,Count_2
2014-04-01 00:00:00,2014-04-01,0,58,1,4,0,56,5.0,12,7.0,0.0
2014-04-01 01:00:00,2014-04-01,1,25,1,4,0,32,2.0,7,0.0,0.0
2014-04-01 02:00:00,2014-04-01,2,25,1,4,0,15,3.0,7,3.0,0.0
2014-04-01 03:00:00,2014-04-01,3,35,1,4,0,28,11.0,14,2.0,3.0
2014-04-01 04:00:00,2014-04-01,4,54,1,4,0,57,5.0,28,18.0,4.0
2014-04-01 05:00:00,2014-04-01,5,110,1,4,0,119,15.0,61,23.0,5.0
2014-04-01 06:00:00,2014-04-01,6,318,1,4,0,285,21.0,78,16.0,4.0
2014-04-01 07:00:00,2014-04-01,7,465,1,4,0,401,25.0,95,11.0,4.0
2014-04-01 08:00:00,2014-04-01,8,361,1,4,0,295,33.0,74,10.0,7.0
2014-04-01 09:00:00,2014-04-01,9,247,1,4,0,185,32.0,58,3.0,7.0
2014-04-01 10:00:00,2014-04-01,10,215,1,4,0,178,21.0,36,13.0,14.0
2014-04-01 11:00:00,2014-04-01,11,268,1,4,0,183,41.0,46,7.0,2.0
2014-04-01 12:00:00,2014-04-01,12,215,1,4,0,153,40.0,40,10.0,11.0
2014-04-01 13:00:00,2014-04-01,13,272,1,4,0,202,39.0,44,25.0,9.0
2014-04-01 14:00:00,2014-04-01,14,349,1,4,0,279,30.0,38,28.0,12.0
2014-04-01 15:00:00,2014-04-01,15,483,1,4,0,342,48.0,47,32.0,15.0
2014-04-01 16:00:00,2014-04-01,16,599,1,4,0,415,46.0,50,34.0,8.0
2014-04-01 17:00:00,2014-04-01,17,683,1,4,0,432,45.0,61,31.0,10.0
2014-04-01 18:00:00,2014-04-01,18,532,1,4,0,440,35.0,69,37.0,9.0
2014-04-01 19:00:00,2014-04-01,19,509,1,4,0,383,39.0,49,26.0,12.0
2014-04-01 20:00:00,2014-04-01,20,284,1,4,0,224,24.0,44,16.0,5.0
2014-04-01 21:00:00,2014-04-01,21,357,1,4,0,365,55.0,77,16.0,8.0
2014-04-01 22:00:00,2014-04-01,22,186,1,4,0,258,21.0,35,21.0,8.0
2014-04-01 23:00:00,2014-04-01,23,104,1,4,0,136,8.0,44,18.0,7.0
2014-04-02 00:00:00,2014-04-02,0,54,2,4,0,72,5.0,18,11.0,1.0
2014-04-02 01:00:00,2014-04-02,1,24,2,4,0,46,3.0,8,1.0,0.0
2014-04-02 02:00:00,2014-04-02,2,20,2,4,0,26,4.0,8,1.0,0.0
2014-04-02 03:00:00,2014-04-02,3,34,2,4,0,27,3.0,11,4.0,1.0
2014-04-02 04:00:00,2014-04-02,4,59,2,4,0,72,12.0,45,5.0,3.0
2014-04-02 05:00:00,2014-04-02,5,117,2,4,0,129,10.0,62,20.0,6.0
2014-04-02 06:00:00,2014-04-02,6,375,2,4,0,289,25.0,77,18.0,1.0
